country,0-14 years,15-64 years,65 years and over
Afghanistan,39.8,57.35,2.85
Albania,17.9,67.53,14.57
Algeria,28.78,64.29,6.93
Andorra,12.31,68.17,19.52
Angola,47.18,50.49,2.33
Antigua and Barbuda,21.97,67.94,10.09
Argentina,23.51,63.83,12.66
Armenia,17.98,67.53,14.49
Australia,18.43,64.89,16.69
Austria,14.08,65.11,20.81
Azerbaijan,21.78,69.64,8.58
Bahrain,18.14,77.83,4.03
Bangladesh,25.38,67.09,7.53
Barbados,16.78,67.56,15.66
Belarus,15.83,66.81,17.36
Belgium,17.03,63.06,19.91
Belize,30.93,64.15,4.92
Benin,45.37,52.18,2.45
Bhutan,23.49,69.97,6.54
Bolivia,29.14,64.03,6.84
Bosnia and Herzegovina,13.14,69.0,17.86
Botswana,29.17,64.88,5.95
Brazil,19.77,69.72,10.51
Brunei,21.83,71.07,7.1
Bulgaria,14.03,65.17,20.81
Burkina Faso,42.19,54.62,3.19
Burma,24.89,68.3,6.8
Burundi,42.67,54.03,3.3
Cabo Verde,26.68,67.18,6.14
Cambodia,29.47,65.39,5.14
Cameroon,41.69,55.12,3.19
Canada,15.65,63.85,20.5
Central African Republic,38.84,57.71,3.45
Chad,46.24,51.27,2.49
Chile,19.34,67.56,13.09
China,16.48,69.4,14.11
Colombia,22.45,66.66,10.89
Comoros,33.45,62.0,4.55
Costa Rica,21.49,68.59,9.92
Cote d,36.65,60.4,2.95
Croatia,13.98,63.39,22.63
Cuba,16.39,66.81,16.8
Cyprus,15.63,70.36,14.01
Czechia,14.68,64.18,21.13
Democratic Republic of the Congo,45.99,51.52,2.49
Denmark,16.24,63.13,20.63
Djibouti,28.65,67.21,4.15
Dominica,20.82,65.82,13.36
Dominican Republic,25.92,67.09,6.99
Ecuador,24.49,66.44,9.07
Egypt,34.37,60.27,5.36
El Salvador,25.4,66.39,8.21
Equatorial Guinea,36.05,59.01,4.94
Eritrea,36.27,59.73,4.0
Estonia,15.56,62.27,22.17
Eswatini,32.16,63.88,3.97
Ethiopia,38.91,57.55,3.54
Federated States of Micronesia,27.41,67.13,5.46
Fiji,25.17,66.31,8.52
Finland,16.25,60.5,23.25
France,18.04,60.53,21.42
Gabon,35.04,60.76,4.2
Georgia,18.41,63.65,17.95
Germany,13.75,62.97,23.28
Ghana,37.72,57.92,4.36
Greece,14.02,62.66,23.31
Grenada,22.23,65.51,12.26
Guatemala,31.98,62.78,5.24
Guinea,40.96,55.05,4.0
Guinea-Bissau,42.51,54.38,3.11
Guyana,23.65,68.49,7.86
Haiti,29.68,65.76,4.56
Holy See,nan,nan,nan
Honduras,27.92,66.18,5.91
Hungary,14.24,63.97,21.79
Iceland,19.98,63.39,16.63
India,24.77,68.42,6.8
Indonesia,24.22,68.1,7.68
Iran,23.51,69.82,6.67
Iraq,35.24,61.17,3.59
Ireland,20.39,65.04,14.57
Israel,25.96,61.66,12.38
Italy,12.08,64.61,23.31
Jamaica,24.11,65.8,10.08
Japan,12.29,58.49,29.22
Jordan,31.42,64.53,4.05
Kazakhstan,25.26,65.29,9.44
Kenya,36.45,60.26,3.28
Kiribati,27.06,67.77,5.17
Kosovo,23.1,68.75,8.15
Kuwait,23.32,73.28,3.4
Kyrgyzstan,29.54,63.86,6.6
Laos,30.63,64.73,4.65
Latvia,14.92,63.37,21.71
Lebanon,19.21,71.69,9.1
Lesotho,32.4,62.21,5.39
Liberia,42.69,54.5,2.82
Libya,32.81,62.8,4.39
Liechtenstein,15.27,64.38,20.35
Lithuania,15.3,63.11,21.59
Luxembourg,16.73,67.38,15.88
Madagascar,37.47,58.72,3.81
Malawi,38.54,57.64,3.82
Malaysia,22.46,69.42,8.12
Maldives,22.25,71.97,5.78
Mali,47.05,49.88,3.07
Malta,14.53,62.83,22.65
Marshall Islands,30.65,63.83,5.52
Mauritania,36.11,59.58,4.31
Mauritius,15.3,71.35,13.36
Mexico,23.76,68.22,8.02
