country,rate
Afghanistan,34.79
Albania,12.48
Algeria,17.84
Andorra,6.87
Angola,41.42
Antigua and Barbuda,15.01
Argentina,15.38
Armenia,10.8
Australia,12.23
Austria,9.39
Azerbaijan,13.2
Bahrain,12.3
Bangladesh,17.5
Barbados,10.73
Belarus,8.87
Belgium,10.86
Belize,20.93
Benin,40.72
Bhutan,15.61
Bolivia,18.08
Bosnia and Herzegovina,8.31
Botswana,19.95
Brazil,13.44
Brunei,15.98
Bulgaria,7.97
Burkina Faso,32.71
Burma,16.04
Burundi,34.87
Cabo Verde,18.19
Cambodia,18.75
Cameroon,35.13
Canada,10.11
Central African Republic,32.37
Chad,39.85
Chile,12.57
China,9.69
Colombia,15.06
Comoros,22.06
Costa Rica,14.03
Cote d,27.92
Croatia,8.6
Cuba,9.99
Cyprus,10.37
Czechia,8.43
Democratic Republic of the Congo,39.64
Denmark,11.25
Djibouti,22.03
Dominica,13.64
Dominican Republic,17.8
Ecuador,16.19
Egypt,20.48
El Salvador,17.49
Equatorial Guinea,29.46
Eritrea,26.72
Estonia,8.48
Eswatini,22.83
Ethiopia,29.97
Federated States of Micronesia,18.12
Fiji,16.25
Finland,10.33
France,11.56
Gabon,25.89
Georgia,10.79
Germany,9.02
Ghana,28.04
Greece,7.52
Grenada,13.61
Guatemala,21.88
Guinea,35.47
Guinea-Bissau,36.25
Guyana,16.74
Haiti,20.81
Holy See,nan
Honduras,17.64
Hungary,8.58
Iceland,12.8
India,16.53
Indonesia,15.05
Iran,14.79
Iraq,24.22
Ireland,12.08
Israel,17.3
Italy,7.0
Jamaica,15.77
Japan,6.9
Jordan,22.37
Kazakhstan,14.92
Kenya,26.01
Kiribati,19.92
Kosovo,14.57
Kuwait,17.65
Kyrgyzstan,19.08
Laos,20.35
Latvia,8.5
Lebanon,12.86
Lesotho,23.01
Liberia,36.26
Libya,20.88
Liechtenstein,10.3
Lithuania,9.09
Luxembourg,11.59
Madagascar,28.14
Malawi,27.29
Malaysia,14.39
Maldives,15.33
Mali,40.54
Malta,9.59
Marshall Islands,21.61
Mauritania,27.61
Mauritius,9.82
Mexico,13.95
Moldova,9.94
Monaco,6.61
Mongolia,15.37
Montenegro,11.04
Morocco,17.1
Mozambique,36.94
Namibia,24.68
Nauru,20.71
Nepal,17.26
Netherlands,10.98
New Zealand,12.69
Nicaragua,16.3
Niger,46.86
Nigeria,34.0
North Korea,14.06
North Macedonia,10.33
Norway,11.89
Oman,21.62
Pakistan,26.01
Palau,11.57
Panama,17.71
Papua New Guinea,28.54
Paraguay,16.15
Peru,16.96
Philippines,22.17
Poland,8.31
Portugal,7.99
Qatar,9.27
Republic of the Congo,31.55
Romania,8.63
Russia,9.22
Rwanda,25.7
Saint Kitts and Nevis,12.06
Saint Lucia,11.73
Saint Vincent and the Grenadines,12.09
Samoa,19.03
San Marino,8.88
Sao Tome and Principe,27.43
Saudi Arabia,13.9
Senegal,30.84
Serbia,8.87
Seychelles,12.1
Sierra Leone,31.49
Singapore,8.94
Slovakia,8.78
Slovenia,8.12
Solomon Islands,22.34
Somalia,37.71
South Korea,6.95
South Sudan,37.07
Spain,7.12
Sri Lanka,13.61
Sudan,33.32
Suriname,15.17
Sweden,10.76
Switzerland,10.3
Syria,22.19
Tajikistan,20.28
Tanzania,32.9
Thailand,10.04
The Bahamas,14.49
The Gambia,28.03
Timor-Leste,30.36
Togo,31.39
Tonga,20.02
Trinidad and Tobago,10.62
Tunisia,14.05
Turkey,14.04
Turkmenistan,17.16
Tuvalu,22.34
Uganda,40.27
Ukraine,8.79
United Arab Emirates,10.76
United Kingdom,10.8
United States,12.21
Uruguay,12.65
Uzbekistan,15.18
Vanuatu,21.19
Venezuela,16.99
Vietnam,15.29
Yemen,24.05
Zambia,34.48
Zimbabwe,32.77
