country,rate
Afghanistan,18.9
Albania,46.0
Algeria,53.6
Andorra,nan
Angola,13.7
Antigua and Barbuda,nan
Argentina,70.1
Armenia,57.1
Australia,66.9
Austria,79.0
Azerbaijan,nan
Bahrain,nan
Bangladesh,62.7
Barbados,59.2
Belarus,52.6
Belgium,66.7
Belize,51.4
Benin,15.5
Bhutan,nan
Bolivia,66.5
Bosnia and Herzegovina,45.8
Botswana,67.4
Brazil,80.5
Brunei,nan
Bulgaria,nan
Burkina Faso,35.3
Burma,52.2
Burundi,28.5
Cabo Verde,55.8
Cambodia,56.3
Cameroon,19.3
Canada,nan
Central African Republic,17.8
Chad,8.1
Chile,76.3
China,84.5
Colombia,81.0
Comoros,19.4
Costa Rica,70.9
Cote d,27.8
Croatia,nan
Cuba,69.0
Cyprus,nan
Czechia,nan
Democratic Republic of the Congo,28.1
Denmark,nan
Djibouti,19.0
Dominica,nan
Dominican Republic,62.8
Ecuador,77.9
Egypt,58.5
El Salvador,71.9
Equatorial Guinea,nan
Eritrea,nan
Estonia,nan
Eswatini,66.1
Ethiopia,37.7
Federated States of Micronesia,nan
Fiji,35.5
Finland,85.5
France,nan
Gabon,31.1
Georgia,40.6
Germany,67.0
Ghana,27.2
Greece,nan
Grenada,nan
Guatemala,60.6
Guinea,10.9
Guinea-Bissau,20.6
Guyana,29.9
Haiti,34.3
Holy See,nan
Honduras,69.4
Hungary,nan
Iceland,nan
India,66.7
Indonesia,55.5
Iran,nan
Iraq,52.8
Ireland,nan
Israel,nan
Italy,65.1
Jamaica,nan
Japan,39.8
Jordan,51.8
Kazakhstan,53.0
Kenya,64.6
Kiribati,33.5
Kosovo,nan
Kuwait,nan
Kyrgyzstan,39.4
Laos,54.1
Latvia,nan
Lebanon,nan
Lesotho,64.9
Liberia,24.9
Libya,27.7
Liechtenstein,nan
Lithuania,nan
Luxembourg,nan
Madagascar,49.7
Malawi,65.6
Malaysia,52.2
Maldives,18.8
Mali,17.2
Malta,nan
Marshall Islands,nan
Mauritania,11.5
Mauritius,63.8
Mexico,73.1
Moldova,56.0
Monaco,nan
Mongolia,48.1
Montenegro,20.7
Morocco,70.8
Mozambique,27.1
Namibia,56.1
Nauru,nan
Nepal,46.7
Netherlands,73.0
New Zealand,79.9
Nicaragua,80.4
Niger,11.0
Nigeria,16.6
North Korea,70.2
North Macedonia,59.9
Norway,nan
Oman,29.7
Pakistan,34.0
Palau,nan
Panama,50.8
Papua New Guinea,36.7
Paraguay,68.4
Peru,77.4
Philippines,54.1
Poland,62.3
Portugal,73.9
Qatar,37.5
Republic of the Congo,30.1
Romania,nan
Russia,68.0
Rwanda,64.1
Saint Kitts and Nevis,nan
Saint Lucia,55.5
Saint Vincent and the Grenadines,nan
Samoa,16.6
San Marino,nan
Sao Tome and Principe,49.7
Saudi Arabia,27.9
Senegal,26.9
Serbia,62.3
Seychelles,nan
Sierra Leone,21.2
Singapore,nan
Slovakia,nan
Slovenia,nan
Solomon Islands,29.3
Somalia,6.9
South Korea,82.3
South Sudan,nan
Spain,62.1
Sri Lanka,64.6
Sudan,12.2
Suriname,39.1
Sweden,70.3
Switzerland,71.6
Syria,nan
Tajikistan,29.3
Tanzania,38.4
Thailand,73.0
The Bahamas,nan
The Gambia,18.9
Timor-Leste,26.1
Togo,23.9
Tonga,29.3
Trinidad and Tobago,nan
Tunisia,50.7
Turkey,69.8
Turkmenistan,49.7
Tuvalu,23.7
Uganda,50.2
Ukraine,65.4
United Arab Emirates,nan
United Kingdom,76.1
United States,73.9
Uruguay,79.6
Uzbekistan,nan
Vanuatu,49.0
Venezuela,75.0
Vietnam,72.8
Yemen,33.5
Zambia,49.6
Zimbabwe,66.8
