country,rate
Afghanistan,70.3
Albania,67.2
Algeria,56.0
Andorra,nan
Angola,55.7
Antigua and Barbuda,31.5
Argentina,48.9
Armenia,64.8
Australia,55.9
Austria,58.7
Azerbaijan,62.9
Bahrain,43.8
Bangladesh,80.1
Barbados,57.1
Belarus,66.6
Belgium,43.2
Belize,64.3
Benin,68.3
Bhutan,62.8
Bolivia,57.1
Bosnia and Herzegovina,63.8
Botswana,45.0
Brazil,55.9
Brunei,54.3
Bulgaria,57.3
Burkina Faso,73.5
Burma,57.5
Burundi,54.1
Cabo Verde,46.9
Cambodia,66.4
Cameroon,54.2
Canada,52.2
Central African Republic,64.7
Chad,70.6
Chile,46.3
China,75.9
Colombia,55.3
Comoros,61.2
Costa Rica,48.4
Cote d,60.3
Croatia,50.8
Cuba,58.0
Cyprus,54.5
Czechia,48.4
Democratic Republic of the Congo,55.3
Denmark,59.6
Djibouti,50.6
Dominica,40.3
Dominican Republic,52.1
Ecuador,55.1
Egypt,71.1
El Salvador,55.0
Equatorial Guinea,60.2
Eritrea,52.3
Estonia,52.3
Eswatini,37.1
Ethiopia,67.5
Federated States of Micronesia,51.7
Fiji,58.8
Finland,57.2
France,54.8
Gabon,49.7
Georgia,67.1
Germany,54.4
Ghana,54.3
Greece,54.1
Grenada,41.3
Guatemala,57.2
Guinea,68.7
Guinea-Bissau,56.7
Guyana,62.6
Haiti,51.4
Holy See,nan
Honduras,53.5
Hungary,51.4
Iceland,45.1
India,72.6
Indonesia,70.0
Iran,70.3
Iraq,65.5
Ireland,52.1
Israel,51.7
Italy,52.5
Jamaica,32.7
Japan,46.8
Jordan,55.6
Kazakhstan,61.8
Kenya,56.8
Kiribati,67.6
Kosovo,nan
Kuwait,59.6
Kyrgyzstan,66.2
Laos,60.1
Latvia,49.1
Lebanon,51.4
Lesotho,53.7
Liberia,48.7
Libya,59.2
Liechtenstein,65.2
Lithuania,53.4
Luxembourg,51.4
Madagascar,60.1
Malawi,60.7
Malaysia,59.3
Maldives,71.9
Mali,77.9
Malta,63.2
Marshall Islands,68.3
Mauritania,66.0
Mauritius,62.0
Mexico,56.6
Moldova,67.0
Monaco,nan
Mongolia,58.9
Montenegro,57.1
Morocco,58.8
Mozambique,63.7
Namibia,33.3
Nauru,59.6
Nepal,74.6
Netherlands,53.7
New Zealand,57.6
Nicaragua,56.0
Niger,80.3
Nigeria,66.2
North Korea,69.7
North Macedonia,66.5
Norway,50.2
Oman,56.4
Pakistan,63.5
Palau,45.6
Panama,58.6
Papua New Guinea,65.5
Paraguay,59.4
Peru,51.2
Philippines,59.3
Poland,56.6
Portugal,52.6
Qatar,65.8
Republic of the Congo,51.8
Romania,54.8
Russia,53.1
Rwanda,50.4
Saint Kitts and Nevis,57.2
Saint Lucia,53.6
Saint Vincent and the Grenadines,53.3
Samoa,61.7
San Marino,47.7
Sao Tome and Principe,51.9
Saudi Arabia,63.2
Senegal,65.3
Serbia,60.8
Seychelles,45.0
Sierra Leone,58.9
Singapore,54.3
Slovakia,47.9
Slovenia,46.4
Solomon Islands,64.1
Somalia,62.9
South Korea,52.9
South Sudan,72.0
Spain,50.1
Sri Lanka,65.1
Sudan,61.4
Suriname,52.1
Sweden,53.4
Switzerland,57.5
Syria,52.6
Tajikistan,72.0
Tanzania,59.5
Thailand,60.8
The Bahamas,38.9
The Gambia,60.9
Timor-Leste,55.9
Togo,62.0
Tonga,54.9
Trinidad and Tobago,48.6
Tunisia,53.9
Turkey,65.4
Turkmenistan,64.3
Tuvalu,66.1
Uganda,58.3
Ukraine,61.6
United Arab Emirates,72.4
United Kingdom,50.7
United States,51.9
Uruguay,55.4
Uzbekistan,68.6
Vanuatu,69.2
Venezuela,51.5
Vietnam,72.6
Yemen,60.4
Zambia,53.3
Zimbabwe,61.6
