country,rate
Afghanistan,12.08
Albania,7.36
Algeria,4.33
Andorra,7.98
Angola,7.8
Antigua and Barbuda,5.69
Argentina,7.28
Armenia,9.54
Australia,6.76
Austria,9.86
Azerbaijan,6.92
Bahrain,2.83
Bangladesh,5.5
Barbados,8.03
Belarus,12.81
Belgium,9.57
Belize,3.89
Benin,7.82
Bhutan,6.05
Bolivia,6.54
Bosnia and Herzegovina,10.26
Botswana,8.98
Brazil,6.9
Brunei,3.85
Bulgaria,14.31
Burkina Faso,7.5
Burma,7.14
Burundi,5.85
Cabo Verde,5.77
Cambodia,5.7
Cameroon,7.54
Canada,8.17
Central African Republic,11.51
Chad,9.21
Chile,6.58
China,7.82
Colombia,7.84
Comoros,6.49
Costa Rica,4.97
Cote d,7.45
Croatia,12.98
Cuba,9.37
Cyprus,6.99
Czechia,10.77
Democratic Republic of the Congo,7.74
Denmark,9.55
Djibouti,7.08
Dominica,8.12
Dominican Republic,6.31
Ecuador,5.18
Egypt,4.32
El Salvador,5.92
Equatorial Guinea,8.9
Eritrea,6.6
Estonia,13.13
Eswatini,9.53
Ethiopia,5.6
Federated States of Micronesia,4.2
Fiji,6.44
Finland,10.37
France,9.51
Gabon,5.59
Georgia,10.76
Germany,11.97
Ghana,5.99
Greece,12.02
Grenada,8.34
Guatemala,4.89
Guinea,7.97
Guinea-Bissau,7.32
Guyana,6.95
Haiti,7.17
Holy See,nan
Honduras,4.69
Hungary,12.89
Iceland,6.57
India,9.65
Indonesia,6.77
Iran,5.2
Iraq,3.88
Ireland,6.74
Israel,5.05
Italy,11.27
Jamaica,7.44
Japan,11.74
Jordan,3.47
Kazakhstan,8.05
Kenya,4.95
Kiribati,6.91
Kosovo,7.65
Kuwait,2.27
Kyrgyzstan,6.07
Laos,6.26
Latvia,14.69
Lebanon,5.57
Lesotho,10.9
Liberia,6.46
Libya,3.45
Liechtenstein,8.05
Lithuania,15.17
Luxembourg,7.17
Madagascar,5.92
Malawi,4.51
Malaysia,5.72
Maldives,4.2
Mali,8.3
Malta,8.61
Marshall Islands,4.3
Mauritania,7.33
Mauritius,8.95
Mexico,7.07
Moldova,12.51
Monaco,10.92
Mongolia,6.33
Montenegro,10.3
Morocco,6.61
Mozambique,9.93
Namibia,6.64
Nauru,6.39
Nepal,5.59
Netherlands,9.27
New Zealand,6.89
Nicaragua,5.19
Niger,9.66
Nigeria,8.52
North Korea,9.66
North Macedonia,9.61
Norway,7.93
Oman,3.21
Pakistan,5.94
Palau,8.31
Panama,5.88
Papua New Guinea,5.48
Paraguay,4.9
Peru,11.04
Philippines,6.32
Poland,10.75
Portugal,10.9
Qatar,1.42
Republic of the Congo,8.23
Romania,14.92
Russia,13.27
Rwanda,5.77
Saint Kitts and Nevis,7.32
Saint Lucia,8.17
Saint Vincent and the Grenadines,7.58
Samoa,5.38
San Marino,8.83
Sao Tome and Principe,6.07
Saudi Arabia,3.45
Senegal,5.0
Serbia,15.12
Seychelles,6.9
Sierra Leone,9.14
Singapore,4.15
Slovakia,10.18
Slovenia,10.46
Solomon Islands,3.95
Somalia,11.43
South Korea,7.28
South Sudan,9.22
Spain,10.11
Sri Lanka,6.54
Sudan,6.19
Suriname,6.63
Sweden,9.5
Switzerland,8.37
Syria,4.07
Tajikistan,5.67
Tanzania,5.02
Thailand,7.86
The Bahamas,6.47
The Gambia,5.71
Timor-Leste,5.55
Togo,5.16
Tonga,4.95
Trinidad and Tobago,8.48
Tunisia,6.38
Turkey,6.09
Turkmenistan,5.96
Tuvalu,7.9
Uganda,4.87
Ukraine,13.7
United Arab Emirates,1.62
United Kingdom,9.12
United States,8.42
Uruguay,9.12
Uzbekistan,5.43
Vanuatu,3.99
Venezuela,6.55
Vietnam,5.77
Yemen,5.54
Zambia,6.02
Zimbabwe,8.51
