country,rate
Afghanistan,2.9
Albania,3.1
Algeria,7.0
Andorra,2.9
Angola,2.4
Antigua and Barbuda,3.8
Argentina,5.0
Armenia,2.8
Australia,6.1
Austria,5.1
Azerbaijan,4.3
Bahrain,2.2
Bangladesh,2.1
Barbados,6.5
Belarus,4.7
Belgium,6.7
Belize,8.7
Benin,3.0
Bhutan,7.0
Bolivia,9.8
Bosnia and Herzegovina,nan
Botswana,8.7
Brazil,6.0
Brunei,4.4
Bulgaria,4.0
Burkina Faso,5.5
Burma,2.1
Burundi,5.0
Cabo Verde,7.6
Cambodia,3.1
Cameroon,3.2
Canada,5.2
Central African Republic,2.2
Chad,2.9
Chile,5.6
China,3.6
Colombia,4.9
Comoros,2.6
Costa Rica,6.7
Cote d,3.4
Croatia,5.5
Cuba,nan
Cyprus,6.1
Czechia,5.1
Democratic Republic of the Congo,2.7
Denmark,6.4
Djibouti,3.6
Dominica,5.5
Dominican Republic,4.6
Ecuador,3.7
Egypt,2.5
El Salvador,4.1
Equatorial Guinea,nan
Eritrea,nan
Estonia,6.6
Eswatini,5.0
Ethiopia,4.5
Federated States of Micronesia,9.7
Fiji,5.7
Finland,5.9
France,5.5
Gabon,3.2
Georgia,3.6
Germany,4.7
Ghana,3.9
Greece,4.4
Grenada,3.6
Guatemala,3.1
Guinea,2.2
Guinea-Bissau,2.7
Guyana,4.5
Haiti,1.4
Holy See,nan
Honduras,6.4
Hungary,4.8
Iceland,7.7
India,4.5
Indonesia,3.5
Iran,3.6
Iraq,4.7
Ireland,3.1
Israel,7.1
Italy,4.3
Jamaica,6.0
Japan,3.4
Jordan,3.2
Kazakhstan,4.5
Kenya,4.8
Kiribati,12.4
Kosovo,nan
Kuwait,6.6
Kyrgyzstan,6.2
Laos,2.3
Latvia,6.0
Lebanon,1.7
Lesotho,8.7
Liberia,2.7
Libya,nan
Liechtenstein,2.6
Lithuania,4.0
Luxembourg,5.0
Madagascar,3.1
Malawi,2.9
Malaysia,3.9
Maldives,5.8
Mali,4.4
Malta,5.9
Marshall Islands,13.6
Mauritania,1.9
Mauritius,4.9
Mexico,4.3
Moldova,6.4
Monaco,1.2
Mongolia,4.7
Montenegro,nan
Morocco,6.8
Mozambique,6.3
Namibia,9.6
Nauru,7.1
Nepal,4.2
Netherlands,5.3
New Zealand,6.0
Nicaragua,4.6
Niger,3.8
Nigeria,0.5
North Korea,nan
North Macedonia,nan
Norway,5.9
Oman,5.4
Pakistan,2.4
Palau,6.8
Panama,3.9
Papua New Guinea,1.4
Paraguay,3.3
Peru,4.0
Philippines,3.7
Poland,5.2
Portugal,5.0
Qatar,3.2
Republic of the Congo,4.5
Romania,3.7
Russia,3.7
Rwanda,3.8
Saint Kitts and Nevis,2.5
Saint Lucia,3.6
Saint Vincent and the Grenadines,5.7
Samoa,4.8
San Marino,3.4
Sao Tome and Principe,5.0
Saudi Arabia,7.8
Senegal,5.5
Serbia,3.6
Seychelles,5.2
Sierra Leone,9.1
Singapore,2.8
Slovakia,4.6
Slovenia,5.8
Solomon Islands,12.8
Somalia,0.3
South Korea,4.7
South Sudan,1.5
Spain,4.6
Sri Lanka,1.9
Sudan,nan
Suriname,5.0
Sweden,7.2
Switzerland,5.2
Syria,nan
Tajikistan,5.9
Tanzania,3.3
Thailand,3.2
The Bahamas,2.8
The Gambia,2.8
Timor-Leste,4.2
Togo,4.0
Tonga,6.6
Trinidad and Tobago,4.1
Tunisia,7.3
Turkey,3.4
Turkmenistan,3.1
Tuvalu,nan
Uganda,2.7
Ukraine,5.4
United Arab Emirates,3.9
United Kingdom,5.5
United States,6.1
Uruguay,4.6
Uzbekistan,4.9
Vanuatu,2.2
Venezuela,1.3
Vietnam,4.1
Yemen,nan
Zambia,3.7
Zimbabwe,3.9
