country,food insecurity
Afghanistan,severe localized food insecurity
Albania,nan
Algeria,nan
Andorra,nan
Angola,nan
Antigua and Barbuda,nan
Argentina,nan
Armenia,nan
Australia,nan
Austria,nan
Azerbaijan,nan
Bahrain,nan
Bangladesh,severe localized food insecurity
Barbados,nan
Belarus,nan
Belgium,nan
Belize,nan
Benin,nan
Bhutan,nan
Bolivia,nan
Bosnia and Herzegovina,nan
Botswana,nan
Brazil,nan
Brunei,nan
Bulgaria,nan
Burkina Faso,severe localized food insecurity
Burma,severe localized food insecurity
Burundi,widespread lack of access
Cabo Verde,nan
Cambodia,nan
Cameroon,severe localized food insecurity
Canada,nan
Central African Republic,exceptional shortfall in aggregate food production/supplies
Chad,widespread lack of access
Chile,nan
China,nan
Colombia,nan
Comoros,nan
Costa Rica,nan
Cote d,nan
Croatia,nan
Cuba,nan
Cyprus,nan
Czechia,nan
Democratic Republic of the Congo,widespread lack of access
Denmark,nan
Djibouti,widespread lack of access
Dominica,nan
Dominican Republic,nan
Ecuador,nan
Egypt,nan
El Salvador,nan
Equatorial Guinea,nan
Eritrea,nan
Estonia,nan
Eswatini,severe localized food insecurity
Ethiopia,widespread lack of access
Federated States of Micronesia,nan
Fiji,nan
Finland,nan
France,nan
Gabon,nan
Georgia,nan
Germany,nan
Ghana,nan
Greece,nan
Grenada,nan
Guatemala,nan
Guinea,severe localized food insecurity
Guinea-Bissau,nan
Guyana,nan
Haiti,widespread lack of access
Holy See,nan
Honduras,nan
Hungary,nan
Iceland,nan
India,nan
Indonesia,nan
Iran,nan
Iraq,severe localized food insecurity
Ireland,nan
Israel,nan
Italy,nan
Jamaica,nan
Japan,nan
Jordan,nan
Kazakhstan,nan
Kenya,exceptional shortfall in aggregate food production/supplies
Kiribati,nan
Kosovo,nan
Kuwait,nan
Kyrgyzstan,nan
Laos,nan
Latvia,nan
Lebanon,widespread lack of access
Lesotho,severe localized food insecurity
Liberia,severe localized food insecurity
Libya,severe localized food insecurity
Liechtenstein,nan
Lithuania,nan
Luxembourg,nan
Madagascar,severe localized food insecurity
Malawi,widespread lack of access
Malaysia,nan
Maldives,nan
Mali,severe localized food insecurity
Malta,nan
Marshall Islands,nan
Mauritania,widespread lack of access
Mauritius,nan
Mexico,nan
Moldova,nan
Monaco,nan
Mongolia,nan
Montenegro,nan
Morocco,nan
Mozambique,severe localized food insecurity
Namibia,severe localized food insecurity
Nauru,nan
Nepal,nan
Netherlands,nan
New Zealand,nan
Nicaragua,nan
Niger,widespread lack of access
Nigeria,widespread lack of access
North Korea,widespread lack of access
North Macedonia,nan
Norway,nan
Oman,nan
Pakistan,severe localized food insecurity
Palau,nan
Panama,nan
Papua New Guinea,nan
Paraguay,nan
Peru,nan
Philippines,nan
Poland,nan
Portugal,nan
Qatar,nan
Republic of the Congo,severe localized food insecurity
Romania,nan
Russia,nan
Rwanda,nan
Saint Kitts and Nevis,nan
Saint Lucia,nan
Saint Vincent and the Grenadines,nan
Samoa,nan
San Marino,nan
Sao Tome and Principe,nan
Saudi Arabia,nan
Senegal,severe localized food insecurity
Serbia,nan
Seychelles,nan
Sierra Leone,severe localized food insecurity
Singapore,nan
Slovakia,nan
Slovenia,nan
Solomon Islands,nan
Somalia,exceptional shortfall in aggregate food production/supplies
South Korea,nan
South Sudan,widespread lack of access
Spain,nan
Sri Lanka,widespread lack of access
Sudan,severe localized food insecurity
Suriname,nan
Sweden,nan
Switzerland,nan
Syria,exceptional shortfall in aggregate food production/supplies
Tajikistan,nan
Tanzania,severe localized food insecurity
Thailand,nan
The Bahamas,nan
The Gambia,nan
Timor-Leste,nan
Togo,nan
Tonga,nan
Trinidad and Tobago,nan
Tunisia,nan
Turkey,nan
Turkmenistan,nan
Tuvalu,nan
Uganda,severe localized food insecurity
Ukraine,widespread lack of access
United Arab Emirates,nan
United Kingdom,nan
United States,nan
Uruguay,nan
Uzbekistan,nan
Vanuatu,nan
Venezuela,widespread lack of access
Vietnam,nan
Yemen,widespread lack of access
Zambia,severe localized food insecurity
Zimbabwe,widespread lack of access
