country,rate
Afghanistan,20240000000.0
Albania,15273000000.0
Algeria,169912000000.0
Andorra,2712000000.0
Angola,97261000000.0
Antigua and Barbuda,1524000000.0
Argentina,447467000000.0
Armenia,13694000000.0
Australia,1390790000000.0
Austria,445025000000.0
Azerbaijan,48104000000.0
Bahrain,38472000000.0
Bangladesh,329545000000.0
Barbados,4990000000.0
Belarus,63168000000.0
Belgium,533028000000.0
Belize,1854000000.0
Benin,10315000000.0
Bhutan,2405000000.0
Bolivia,40822000000.0
Bosnia and Herzegovina,20078000000.0
Botswana,18335000000.0
Brazil,1877942000000.0
Brunei,12130000000.0
Bulgaria,68489999999.99999
Burkina Faso,14271000000.0
Burma,76606000000.0
Burundi,3027000000.0
Cabo Verde,1971000000.0
Cambodia,22090000000.0
Cameroon,34990000000.0
Canada,1741865000000.0
Central African Republic,1937000000.0
Chad,10912000000.0
Chile,282655000000.0
China,14327359000000.0
Colombia,323255000000.0
Comoros,1186000000.0
Costa Rica,61855000000.0
Cote d,42498000000.0
Croatia,60687000000.0
Cuba,93790000000.0
Cyprus,24946000000.0
Czechia,250631000000.0
Democratic Republic of the Congo,47160000000.0
Denmark,350037000000.0
Djibouti,3323000000.0
Dominica,557000000.0
Dominican Republic,88956000000.0
Ecuador,107436000000.0
Egypt,323763000000.0
El Salvador,27023000000.0
Equatorial Guinea,10634000000.0
Eritrea,5813000000.0
Estonia,31461000000.0
Eswatini,4484000000.0
Ethiopia,92154000000.0
Federated States of Micronesia,328000000.0
Fiji,4891000000.0
Finland,269259000000.0
France,2.716
Gabon,16064000000.0
Georgia,17694000000.0
Germany,3860923000000.0
Ghana,65363000000.0
Greece,209790000000.0
Grenada,1119000000.0
Guatemala,76678000000.0
Guinea,13550000000.0
Guinea-Bissau,1339000000.0
Guyana,3561000000.0
Haiti,8608000000.0
Holy See,nan
Honduras,25145000000.0
Hungary,163251000000.0
Iceland,24614000000.0
India,2.836
Indonesia,1119720000000.0
Iran,581252000000.0
Iraq,231994000000.0
Ireland,398476000000.0
Israel,394930000000.0
Italy,2002763000000.0
Jamaica,15847000000.0
Japan,5078679000000.0
Jordan,44568000000.0
Kazakhstan,181194000000.0
Kenya,95520000000.0
Kiribati,197000000.0
Kosovo,7926000000.0
Kuwait,134638000000.0
Kyrgyzstan,8442000000.0
Laos,16969999999.999998
Latvia,34084000000.000004
Lebanon,53253000000.0
Lesotho,2462000000.0
Liberia,3071000000.0
Libya,52259000000.0
Liechtenstein,6672000000.0
Lithuania,54597000000.0
Luxembourg,71089000000.0
Madagascar,13964000000.0
Malawi,7766000000.0
Malaysia,364631000000.0
Maldives,4505000000.0
Mali,17508000000.0
Malta,14986000000.0
Marshall Islands,222000000.0
Mauritania,706000000.0
Mauritius,14004000000.0
Mexico,1269956000000.0
Moldova,11982000000.0
Monaco,6006000000.0
Mongolia,11140000000.0
Montenegro,5486000000.0
Morocco,118858000000.0
Mozambique,14964000000.0
Namibia,12372000000.0
Nauru,114000000.0
Nepal,24880000000.0
Netherlands,907042000000.0
New Zealand,205202000000.0
Nicaragua,12570000000.0
Niger,12926000000.0
Nigeria,475062000000.0
North Korea,28000000000.0
North Macedonia,12696000000.0
Norway,405695000000.0
Oman,76883000000.0
Pakistan,253183000000.0
Palau,292000000.0
Panama,66801000000.0
Papua New Guinea,19820000000.0
Paraguay,38940000000.0
Peru,230707000000.0
Philippines,377205000000.0
Poland,595720000000.0
Portugal,237698000000.0
Qatar,191290000000.0
Republic of the Congo,8718000000.0
Romania,249543000000.0
Russia,1702361000000.0
Rwanda,9136000000.0
Saint Kitts and Nevis,964000000.0
Saint Lucia,1686000000.0
Saint Vincent and the Grenadines,785000000.0
Samoa,841000000.0
San Marino,1643000000.0
Sao Tome and Principe,0.0
Saudi Arabia,792849000000.0
Senegal,23576000000.0
Serbia,51449000000.0
Seychelles,1748000000.0
Sierra Leone,4131999999.9999995
Singapore,372088000000.0
Slovakia,105388000000.0
Slovenia,54160000000.0
Solomon Islands,1298000000.0
Somalia,7052000000.0
South Korea,1646604000000.0
South Sudan,3060000000.0
Spain,1393351000000.0
Sri Lanka,84016000000.0
Sudan,24918000000.0
Suriname,3419000000.0
Sweden,531350000000.0
Switzerland,731502000000.0
Syria,24600000000.0
Tajikistan,2522000000.0
Tanzania,60633000000.0
Thailand,543798000000.0
The Bahamas,12160000000.0
The Gambia,1746000000.0
Timor-Leste,2775000000.0
Togo,5232000000.0
Tonga,455000000.0
Trinidad and Tobago,24031000000.0
Tunisia,38884000000.0
Turkey,760028000000.0
Turkmenistan,40819000000.0
Tuvalu,40000000.0
Uganda,34683000000.0
Ukraine,155082000000.0
United Arab Emirates,421077000000.0
United Kingdom,2827918000000.0
United States,21433228000000.0
Uruguay,56108000000.0
Uzbekistan,57789000000.0
Vanuatu,870000000.0
Venezuela,210100000000.0
Vietnam,259957000000.0
Yemen,54356000000.0
Zambia,25710000000.0
Zimbabwe,21441000000.0
