country,rate
Afghanistan,-14.19
Albania,16.0
Algeria,7.36
Andorra,-3.9
Angola,-8.34
Antigua and Barbuda,8.26
Argentina,15.26
Armenia,3.4
Australia,-0.55
Austria,6.77
Azerbaijan,1.95
Bahrain,0.4
Bangladesh,10.29
Barbados,-0.6
Belarus,6.7
Belgium,1.28
Belize,15.08
Benin,9.12
Bhutan,1.96
Bolivia,9.56
Bosnia and Herzegovina,8.87
Botswana,19.38
Brazil,4.48
Brunei,-4.17
Bulgaria,1.72
Burkina Faso,8.73
Burma,-20.65
Burundi,1.4
Cabo Verde,11.76
Cambodia,9.37
Cameroon,3.22
Canada,4.74
Central African Republic,-0.24
Chad,0.3
Chile,5.06
China,8.22
Colombia,9.65
Comoros,-0.25
Costa Rica,9.83
Cote d,6.2
Croatia,9.11
Cuba,-6.75
Cyprus,8.1
Czechia,3.3
Democratic Republic of the Congo,7.78
Denmark,5.25
Djibouti,-4.43
Dominica,5.01
Dominican Republic,15.89
Ecuador,0.49
Egypt,-1.09
El Salvador,9.47
Equatorial Guinea,-6.46
Eritrea,5.4
Estonia,7.13
Eswatini,15.38
Ethiopia,7.26
Federated States of Micronesia,-8.33
Fiji,-8.34
Finland,2.77
France,6.98
Gabon,3.2
Georgia,2.4
Germany,3.61
Ghana,-0.8
Greece,10.67
Grenada,15.33
Guatemala,8.49
Guinea,3.9
Guinea-Bissau,-0.7
Guyana,33.52
Haiti,-2.48
Holy See,nan
Honduras,20.05
Hungary,6.64
Iceland,5.65
India,10.27
Indonesia,3.42
Iran,3.21
Iraq,-1.14
Ireland,20.33
Israel,6.05
Italy,13.46
Jamaica,2.38
Japan,-4.33
Jordan,3.02
Kazakhstan,5.1
Kenya,7.17
Kiribati,-1.57
Kosovo,7.76
Kuwait,-12.2
Kyrgyzstan,3.1
Laos,7.61
Latvia,1.93
Lebanon,-6.85
Lesotho,8.52
Liberia,16.25
Libya,-10.57
Liechtenstein,nan
Lithuania,8.58
Luxembourg,2.87
Madagascar,-21.56
Malawi,1.9
Malaysia,5.65
Maldives,4.51
Mali,1.01
Malta,-3.3
Marshall Islands,-3.66
Mauritania,-6.61
Mauritius,20.88
Mexico,5.44
Moldova,-0.67
Monaco,6.8
Mongolia,-2.22
Montenegro,1.39
Morocco,6.84
Mozambique,-0.42
Namibia,1.44
Nauru,nan
Nepal,4.51
Netherlands,4.93
New Zealand,-2.09
Nicaragua,21.28
Niger,4.09
Nigeria,-0.47
North Korea,1.0
North Macedonia,-2.37
Norway,2.19
Oman,1.05
Pakistan,7.81
Palau,-3.42
Panama,37.5
Papua New Guinea,-7.5
Paraguay,4.69
Peru,16.44
Philippines,8.49
Poland,3.36
Portugal,5.63
Qatar,0.66
Republic of the Congo,-7.91
Romania,4.07
Russia,4.9
Rwanda,13.4
Saint Kitts and Nevis,1.55
Saint Lucia,10.8
Saint Vincent and the Grenadines,5.7
Samoa,-9.65
San Marino,-1.1
Sao Tome and Principe,1.44
Saudi Arabia,1.71
Senegal,10.91
Serbia,8.63
Seychelles,3.63
Sierra Leone,17.41
Singapore,13.32
Slovakia,2.46
Slovenia,9.43
Solomon Islands,-3.84
Somalia,3.5
South Korea,5.09
South Sudan,nan
Spain,4.03
Sri Lanka,5.62
Sudan,-0.7
Suriname,-10.92
Sweden,5.72
Switzerland,7.91
Syria,-14.77
Tajikistan,22.04
Tanzania,6.5
Thailand,3.34
The Bahamas,8.51
The Gambia,10.4
Timor-Leste,5.65
Togo,5.32
Tonga,1.23
Trinidad and Tobago,-0.99
Tunisia,8.6
Turkey,12.46
Turkmenistan,1.0
Tuvalu,-26.1
Uganda,3.47
Ukraine,2.57
United Arab Emirates,2.54
United Kingdom,9.12
United States,3.25
Uruguay,5.87
Uzbekistan,8.37
Vanuatu,4.92
Venezuela,-2.0
Vietnam,3.58
Yemen,-5.23
Zambia,4.18
Zimbabwe,6.37
