country,total,percent of population
Afghanistan,7020000.0,18.0
Albania,2291000.0,79.0
Algeria,31240000.0,71.0
Andorra,74260.0,94.0
Angola,11550000.0,33.0
Antigua and Barbuda,89280.0,96.0
Argentina,39150000.0,87.0
Armenia,2212000.0,79.0
Australia,24960000.0,96.0
Austria,8276999.999999999,93.0
Azerbaijan,8600000.0,86.0
Bahrain,1500000.0,100.0
Bangladesh,66300000.0,39.0
Barbados,240800.0,86.0
Belarus,8352000.0,87.0
Belgium,10920000.0,91.0
Belize,248000.0,62.0
Benin,4420000.0,34.0
Bhutan,670800.0,86.0
Bolivia,7920000.0,66.0
Bosnia and Herzegovina,2508000.0,76.0
Botswana,1924000.0,74.0
Brazil,170100000.0,81.0
Brunei,441000.0,98.0
Bulgaria,5175000.0,75.0
Burkina Faso,4840000.0,22.0
Burma,23760000.0,44.0
Burundi,754000.0,5.8
Cabo Verde,413000.0,70.0
Cambodia,10200000.0,60.0
Cameroon,12420000.0,46.0
Canada,35340000.0,93.0
Central African Republic,605000.0,11.0
Chad,3060000.0,18.0
Chile,17100000.0,90.0
China,1022000000.0,73.0
Colombia,37960000.0,73.0
Comoros,221400.0,27.0
Costa Rica,4316000.0,83.0
Cote d,12150000.0,45.0
Croatia,3321000.0,81.0
Cuba,7810000.0,71.0
Cyprus,809900.0,91.0
Czechia,9130000.0,83.0
Democratic Republic of the Congo,21102720.0,23.2
Denmark,5841000.0,99.0
Djibouti,759000.0,69.0
Dominica,58320.0,81.0
Dominican Republic,9350000.0,85.0
Ecuador,13680000.0,76.0
Egypt,79200000.0,72.0
El Salvador,3969000.0,63.0
Equatorial Guinea,864000.0,54.0
Eritrea,792000.0,22.0
Estonia,1183000.0,91.0
Eswatini,708000.0,59.0
Ethiopia,20400000.0,17.0
Federated States of Micronesia,44000.0,40.0
Fiji,809600.0,88.0
Finland,5115000.0,93.0
France,55900000.0,86.0
Gabon,1656000.0,72.0
Georgia,2888000.0,76.0
Germany,75530000.0,91.0
Ghana,22440000.0,68.0
Greece,7800000.0,78.0
Grenada,93600.0,78.0
Guatemala,9180000.0,51.0
Guinea,4900000.0,35.0
Guinea-Bissau,735000.0,35.0
Guyana,680000.0,85.0
Haiti,4290000.0,39.0
Holy See,383.0,75.0
Honduras,4800000.0,48.0
Hungary,8633000.0,89.0
Iceland,370000.0,100.0
India,644000000.0,46.0
Indonesia,167400000.0,62.0
Iran,69520000.0,79.0
Iraq,21560000.0,49.0
Ireland,4750000.0,95.0
Israel,8010000.0,90.0
Italy,44250000.0,75.0
Jamaica,2296000.0,82.0
Japan,99600000.0,83.0
Jordan,9130000.0,83.0
Kazakhstan,17290000.0,91.0
Kenya,15370000.0,29.0
Kiribati,70200.0,54.0
Kosovo,1756300.0,91.0
Kuwait,4300000.0,100.0
Kyrgyzstan,5070000.0,78.0
Laos,4588000.0,62.0
Latvia,1729000.0,91.0
Lebanon,4872000.0,87.0
Lesotho,1104000.0,48.0
Liberia,1768000.0,34.0
Libya,3095400.0,46.2
Liechtenstein,37440.0,96.0
Lithuania,2436000.0,87.0
Luxembourg,633600.0,99.0
Madagascar,5800000.0,20.0
Malawi,4800000.0,24.0
Malaysia,32979999.999999996,97.0
Maldives,447200.0,86.0
Mali,7480000.0,34.0
Malta,461100.0,87.0
Marshall Islands,16254.0,38.7
Mauritania,2714000.0,59.0
Mauritius,884000.0,68.0
Mexico,98800000.0,76.0
Moldova,1891000.0,61.0
Monaco,31820.0,86.0
Mongolia,2772000.0,84.0
Montenegro,516600.0,82.0
Morocco,32560000.000000004,88.0
Mozambique,5440000.0,17.0
Namibia,1325000.0,53.0
Nauru,10920.0,84.0
Nepal,15600000.0,52.0
Netherlands,16559999.999999998,92.0
New Zealand,4896000.0,96.0
Nicaragua,3933000.0,57.0
Niger,5500000.0,22.0
Nigeria,115500000.0,55.0
North Korea,nan,nan
North Macedonia,1743000.0,83.0
Norway,5346000.0,99.0
Oman,4320000.0,96.0
Pakistan,48300000.0,21.0
Palau,6696.0,37.2
Panama,2992000.0,68.0
Papua New Guinea,3168000.0,32.0
Paraguay,5159000.0,77.0
Peru,24140000.0,71.0
Philippines,58300000.0,53.0
Poland,32299999.999999996,85.0
Portugal,8199999.999999999,82.0
Qatar,2700000.0,100.0
Republic of the Congo,1794390.0,32.1
Romania,15960000.0,84.0
Russia,132000000.0,88.0
Rwanda,3900000.0,30.0
Saint Kitts and Nevis,37920.0,79.0
Saint Lucia,140400.0,78.0
Saint Vincent and the Grenadines,85000.0,85.0
Samoa,171600.0,78.0
San Marino,25500.0,75.0
Sao Tome and Principe,112200.0,51.0
Saudi Arabia,36000000.0,100.0
Senegal,9860000.0,58.0
Serbia,5589000.0,81.0
Seychelles,90200.0,82.0
Sierra Leone,1047499.0,12.7
Singapore,5369000.0,91.0
Slovakia,4806000.0,89.0
Slovenia,1869000.0,89.0
Solomon Islands,255600.0,36.0
Somalia,2465000.0,14.5
South Korea,50960000.0,98.0
South Sudan,869000.0,7.9
Spain,44180000.0,94.0
Sri Lanka,14740000.0,67.0
Sudan,13248000.0,28.8
Suriname,402600.0,66.0
Sweden,8800000.0,88.0
Switzerland,8352000.0,96.0
Syria,8492468.0,46.6
Tajikistan,3009054.0,30.4
Tanzania,20480000.0,32.0
Thailand,61200000.0,85.0
The Bahamas,385400.0,94.0
The Gambia,858000.0,33.0
Timor-Leste,507000.0,39.0
Togo,3010000.0,35.0
Tonga,73700.0,67.0
Trinidad and Tobago,1185000.0,79.0
Tunisia,9480000.0,79.0
Turkey,68850000.0,81.0
Turkmenistan,1563023.0,25.3
Tuvalu,7920.0,49.0
Uganda,4600000.0,10.0
Ukraine,3239000.0,79.0
United Arab Emirates,9400000.0,100.0
United Kingdom,64989999.99999999,97.0
United States,312800000.0,92.0
Uruguay,3060000.0,90.0
Uzbekistan,26180000.0,77.0
Vanuatu,211200.0,66.0
Venezuela,22734162.0,78.7
Vietnam,71780000.0,74.0
Yemen,8229624.0,26.6
Zambia,3990000.0,21.0
Zimbabwe,5600000.0,35.0
