country,total population,male,female
Afghanistan,54.05,52.47,55.71
Albania,79.7,77.04,82.55
Algeria,78.27,76.81,79.8
Andorra,83.61,81.4,85.97
Angola,62.51,60.44,64.65
Antigua and Barbuda,78.04,75.88,80.31
Argentina,78.55,75.49,81.81
Armenia,76.4,73.13,79.91
Australia,83.28,81.14,85.54
Austria,82.48,79.86,85.23
Azerbaijan,74.42,71.36,77.66
Bahrain,80.13,77.87,82.45
Bangladesh,74.96,72.8,77.21
Barbados,78.79,76.04,81.57
Belarus,74.54,69.2,80.2
Belgium,82.06,79.47,84.79
Belize,76.08,74.49,77.75
Benin,62.6,60.75,64.55
Bhutan,73.01,71.84,74.25
Bolivia,72.5,71.04,74.02
Bosnia and Herzegovina,78.22,75.28,81.38
Botswana,66.04,63.98,68.16
Brazil,76.1,72.56,79.81
Brunei,78.61,76.26,81.08
Bulgaria,75.83,72.64,79.21
Burkina Faso,63.82,61.99,65.72
Burma,70.21,68.57,71.95
Burundi,67.77,65.65,69.95
Cabo Verde,74.02,71.69,76.41
Cambodia,71.03,69.17,72.97
Cameroon,63.74,61.92,65.61
Canada,83.99,81.72,86.39
Central African Republic,55.96,54.64,57.31
Chad,59.57,57.71,61.51
Chile,80.02,77.04,83.13
China,78.23,75.5,81.2
Colombia,74.89,71.27,78.69
Comoros,67.5,65.2,69.87
Costa Rica,79.87,77.23,82.65
Cote d,62.71,60.51,64.97
Croatia,77.47,74.37,80.76
Cuba,79.87,77.53,82.35
Cyprus,79.96,77.18,82.89
Czechia,79.96,77.04,83.03
Democratic Republic of the Congo,62.23,60.39,64.13
Denmark,81.87,79.95,83.91
Djibouti,65.61,63.04,68.25
Dominica,78.45,75.51,81.53
Dominican Republic,72.84,71.15,74.6
Ecuador,78.25,75.32,81.32
Egypt,74.72,73.53,75.98
El Salvador,75.63,72.16,79.27
Equatorial Guinea,63.8,61.53,66.13
Eritrea,67.19,64.56,69.89
Estonia,78.12,73.52,82.94
Eswatini,60.22,58.17,62.33
Ethiopia,68.59,66.43,70.81
Federated States of Micronesia,74.71,72.61,76.91
Fiji,74.54,71.88,77.32
Finland,81.96,79.08,84.98
France,82.79,79.75,85.97
Gabon,70.03,68.3,71.81
Georgia,77.74,73.72,81.96
Germany,81.72,79.37,84.2
Ghana,69.72,68.06,71.44
Greece,81.71,79.18,84.4
Grenada,76.0,73.41,78.84
Guatemala,73.18,71.17,75.3
Guinea,64.27,62.38,66.21
Guinea-Bissau,64.1,61.84,66.42
Guyana,72.15,70.32,74.07
Haiti,66.3,63.6,69.04
Holy See,nan,nan,nan
Honduras,75.43,71.91,79.06
Hungary,77.44,73.82,81.28
Iceland,83.83,81.61,86.15
India,67.69,65.95,69.61
Indonesia,73.33,71.1,75.68
Iran,75.44,74.07,76.87
Iraq,73.45,71.58,75.42
Ireland,81.87,79.57,84.3
Israel,83.54,81.65,85.53
Italy,82.79,80.46,85.26
Jamaica,76.01,74.25,77.85
Japan,85.0,82.11,88.06
Jordan,76.26,74.77,77.84
Kazakhstan,72.8,67.73,77.56
Kenya,70.04,68.31,71.82
Kiribati,68.22,65.6,70.97
Kosovo,72.15,69.93,74.54
Kuwait,79.35,77.89,80.87
Kyrgyzstan,72.63,68.57,76.96
Laos,68.59,66.95,70.31
Latvia,76.16,71.75,80.79
Lebanon,79.0,77.6,80.46
Lesotho,59.87,57.85,61.95
Liberia,65.8,63.52,68.15
Libya,77.42,75.2,79.76
Liechtenstein,82.76,80.54,85.56
Lithuania,75.95,70.62,81.59
Luxembourg,83.17,80.73,85.76
Madagascar,68.47,67.06,69.92
Malawi,72.71,69.62,75.85
Malaysia,76.38,74.77,78.12
Maldives,77.19,74.84,79.66
Mali,62.81,60.56,65.13
Malta,83.39,81.31,85.56
Marshall Islands,74.92,72.68,77.26
Mauritania,65.57,63.1,68.12
Mauritius,75.13,72.32,78.13
Mexico,73.46,70.29,76.79
Moldova,72.72,68.9,76.77
Monaco,89.64,85.84,93.59
Mongolia,71.65,67.49,76.02
Montenegro,77.99,75.57,80.5
Morocco,73.95,72.26,75.72
Mozambique,57.7,56.41,59.03
Namibia,67.04,65.0,69.14
Nauru,68.25,64.69,71.95
Nepal,72.67,71.95,73.44
Netherlands,82.36,80.15,84.69
New Zealand,82.74,80.98,84.58
Nicaragua,75.05,72.84,77.36
Niger,60.48,58.91,62.1
Nigeria,61.79,59.93,63.75
North Korea,71.88,67.97,76.02
North Macedonia,77.09,74.99,79.32
Norway,82.75,80.63,84.98
Oman,77.16,75.24,79.17
Pakistan,69.96,67.89,72.14
Palau,74.91,71.76,78.24
Panama,78.44,75.6,81.46
Papua New Guinea,69.74,68.04,71.52
Paraguay,78.61,75.97,81.38
Peru,68.94,65.38,72.67
Philippines,70.48,66.97,74.15
Poland,79.0,75.28,82.94
Portugal,81.71,78.6,84.98
Qatar,80.03,77.92,82.19
Republic of the Congo,62.51,61.02,64.05
Romania,76.31,72.87,79.95
Russia,72.72,67.22,78.54
Rwanda,66.21,64.23,68.24
