country,rate
Afghanistan,620.0
Albania,8.0
Algeria,78.0
Andorra,nan
Angola,222.0
Antigua and Barbuda,21.0
Argentina,45.0
Armenia,27.0
Australia,3.0
Austria,5.0
Azerbaijan,41.0
Bahrain,16.0
Bangladesh,123.0
Barbados,39.0
Belarus,1.0
Belgium,5.0
Belize,130.0
Benin,523.0
Bhutan,60.0
Bolivia,161.0
Bosnia and Herzegovina,6.0
Botswana,186.0
Brazil,72.0
Brunei,44.0
Bulgaria,7.0
Burkina Faso,264.0
Burma,179.0
Burundi,494.0
Cabo Verde,42.0
Cambodia,218.0
Cameroon,438.0
Canada,11.0
Central African Republic,835.0
Chad,1063.0
Chile,15.0
China,23.0
Colombia,75.0
Comoros,217.0
Costa Rica,22.0
Cote d,480.0
Croatia,5.0
Cuba,39.0
Cyprus,68.0
Czechia,3.0
Democratic Republic of the Congo,547.0
Denmark,5.0
Djibouti,234.0
Dominica,nan
Dominican Republic,107.0
Ecuador,66.0
Egypt,17.0
El Salvador,43.0
Equatorial Guinea,212.0
Eritrea,322.0
Estonia,5.0
Eswatini,437.0
Ethiopia,267.0
Federated States of Micronesia,74.0
Fiji,38.0
Finland,8.0
France,8.0
Gabon,227.0
Georgia,28.0
Germany,4.0
Ghana,263.0
Greece,8.0
Grenada,21.0
Guatemala,96.0
Guinea,553.0
Guinea-Bissau,725.0
Guyana,112.0
Haiti,350.0
Holy See,nan
Honduras,72.0
Hungary,15.0
Iceland,3.0
India,103.0
Indonesia,173.0
Iran,22.0
Iraq,76.0
Ireland,5.0
Israel,3.0
Italy,5.0
Jamaica,99.0
Japan,4.0
Jordan,41.0
Kazakhstan,13.0
Kenya,530.0
Kiribati,76.0
Kosovo,nan
Kuwait,7.0
Kyrgyzstan,50.0
Laos,126.0
Latvia,18.0
Lebanon,21.0
Lesotho,566.0
Liberia,652.0
Libya,72.0
Liechtenstein,nan
Lithuania,9.0
Luxembourg,6.0
Madagascar,392.0
Malawi,381.0
Malaysia,21.0
Maldives,57.0
Mali,440.0
Malta,3.0
Marshall Islands,nan
Mauritania,465.0
Mauritius,84.0
Mexico,59.0
Moldova,12.0
Monaco,nan
Mongolia,39.0
Montenegro,6.0
Morocco,72.0
Mozambique,127.0
Namibia,215.0
Nauru,nan
Nepal,174.0
Netherlands,4.0
New Zealand,7.0
Nicaragua,78.0
Niger,441.0
Nigeria,1047.0
North Korea,107.0
North Macedonia,3.0
Norway,2.0
Oman,17.0
Pakistan,154.0
Palau,nan
Panama,50.0
Papua New Guinea,192.0
Paraguay,71.0
Peru,69.0
Philippines,78.0
Poland,2.0
Portugal,12.0
Qatar,8.0
Republic of the Congo,282.0
Romania,10.0
Russia,14.0
Rwanda,259.0
Saint Kitts and Nevis,nan
Saint Lucia,73.0
Saint Vincent and the Grenadines,62.0
Samoa,59.0
San Marino,nan
Sao Tome and Principe,146.0
Saudi Arabia,16.0
Senegal,261.0
Serbia,10.0
Seychelles,3.0
Sierra Leone,443.0
Singapore,7.0
Slovakia,5.0
Slovenia,5.0
Solomon Islands,122.0
Somalia,621.0
South Korea,8.0
South Sudan,1223.0
Spain,3.0
Sri Lanka,29.0
Sudan,270.0
Suriname,96.0
Sweden,5.0
Switzerland,7.0
Syria,30.0
Tajikistan,17.0
Tanzania,238.0
Thailand,29.0
The Bahamas,77.0
The Gambia,458.0
Timor-Leste,204.0
Togo,399.0
Tonga,126.0
Trinidad and Tobago,27.0
Tunisia,37.0
Turkey,17.0
Turkmenistan,5.0
Tuvalu,nan
Uganda,284.0
Ukraine,17.0
United Arab Emirates,9.0
United Kingdom,10.0
United States,21.0
Uruguay,19.0
Uzbekistan,30.0
Vanuatu,94.0
Venezuela,259.0
Vietnam,124.0
Yemen,183.0
Zambia,135.0
Zimbabwe,357.0
