country,total,male,female
Afghanistan,19.5,19.4,19.5
Albania,34.3,32.9,35.7
Algeria,28.9,28.6,29.3
Andorra,46.2,46.3,46.1
Angola,15.9,15.4,16.4
Antigua and Barbuda,32.7,30.7,34.4
Argentina,32.4,31.1,33.6
Armenia,36.6,35.1,38.3
Australia,37.5,36.5,38.5
Austria,44.5,43.1,45.8
Azerbaijan,32.6,31.1,34.2
Bahrain,32.9,34.4,30.3
Bangladesh,27.9,27.1,28.6
Barbados,39.5,38.4,40.7
Belarus,40.9,38.0,43.9
Belgium,41.6,40.4,42.8
Belize,23.9,23.0,24.8
Benin,17.0,16.4,17.6
Bhutan,29.1,29.6,28.6
Bolivia,25.3,24.5,26.0
Bosnia and Herzegovina,43.3,41.6,44.8
Botswana,25.7,24.5,26.7
Brazil,33.2,32.3,34.1
Brunei,31.1,30.5,31.8
Bulgaria,43.7,41.9,45.6
Burkina Faso,17.9,17.0,18.7
Burma,29.2,28.3,30.0
Burundi,17.7,17.4,18.0
Cabo Verde,26.8,25.9,27.6
Cambodia,26.4,25.6,27.2
Cameroon,18.5,18.2,18.8
Canada,41.8,40.6,42.9
Central African Republic,20.0,19.7,20.3
Chad,16.1,15.6,16.5
Chile,35.5,34.3,36.7
China,38.4,37.5,39.4
Colombia,31.2,30.2,32.2
Comoros,20.9,20.2,21.5
Costa Rica,32.6,32.1,33.1
Cote d,20.3,20.3,20.3
Croatia,43.9,42.0,45.9
Cuba,42.1,40.2,43.8
Cyprus,37.9,36.7,39.4
Czechia,43.3,42.0,44.7
Democratic Republic of the Congo,16.7,16.5,16.8
Denmark,42.0,40.9,43.1
Djibouti,24.9,23.0,26.4
Dominica,34.9,34.4,35.5
Dominican Republic,27.9,27.8,28.1
Ecuador,28.8,28.0,29.6
Egypt,24.1,23.8,24.5
El Salvador,27.7,26.2,29.3
Equatorial Guinea,20.3,19.9,20.7
Eritrea,20.3,19.7,20.8
Estonia,43.7,40.4,47.0
Eswatini,23.7,22.5,24.7
Ethiopia,19.8,19.6,20.1
Federated States of Micronesia,26.3,25.5,27.1
Fiji,29.9,29.7,30.1
Finland,42.8,41.3,44.4
France,41.7,40.0,43.4
Gabon,21.0,21.4,20.6
Georgia,38.6,35.9,41.4
Germany,47.8,46.5,49.1
Ghana,21.4,21.0,21.9
Greece,45.3,43.7,46.8
Grenada,33.3,33.1,33.4
Guatemala,23.2,22.6,23.8
Guinea,19.1,18.9,19.4
Guinea-Bissau,18.0,17.4,18.6
Guyana,27.5,27.2,27.9
Haiti,24.1,23.8,24.3
Holy See,nan,nan,nan
Honduras,24.4,23.5,25.2
Hungary,43.6,41.5,45.5
Iceland,37.1,36.6,37.7
India,28.7,28.0,29.5
Indonesia,31.1,30.5,31.8
Iran,31.7,31.5,32.0
Iraq,21.2,20.8,21.6
Ireland,37.8,37.4,38.2
Israel,30.4,29.8,31.0
Italy,46.5,45.4,47.5
Jamaica,29.4,28.6,30.1
Japan,48.6,47.2,50.0
Jordan,23.5,23.9,22.9
Kazakhstan,31.6,30.3,32.8
Kenya,20.0,19.9,20.1
Kiribati,25.7,24.8,26.6
Kosovo,30.5,30.2,30.8
Kuwait,29.7,30.7,27.9
Kyrgyzstan,27.3,26.1,28.5
Laos,24.0,23.7,24.4
Latvia,44.4,40.5,48.0
Lebanon,33.7,33.1,34.4
Lesotho,24.7,24.7,24.7
Liberia,18.0,17.7,18.2
Libya,25.8,25.9,25.7
Liechtenstein,43.7,42.0,45.3
Lithuania,44.5,40.2,48.2
Luxembourg,39.5,38.9,40.0
Madagascar,20.3,20.1,20.5
Malawi,16.8,16.7,16.9
Malaysia,29.2,28.9,29.6
Maldives,29.5,29.2,30.0
Mali,16.0,15.3,16.7
Malta,42.3,41.2,43.5
Marshall Islands,23.8,23.6,23.9
Mauritania,21.0,20.1,22.0
Mauritius,36.3,35.0,37.6
Mexico,29.3,28.2,30.4
Moldova,37.7,36.2,39.5
Monaco,55.4,53.7,57.0
Mongolia,29.8,28.8,30.7
Montenegro,39.6,38.1,41.1
Morocco,29.1,28.7,29.6
Mozambique,17.0,16.3,17.6
Namibia,21.8,21.1,22.6
Nauru,27.0,28.2,25.9
Nepal,25.3,23.9,26.9
Netherlands,42.8,41.6,44.0
New Zealand,37.2,36.4,37.9
Nicaragua,27.3,26.4,28.2
Niger,14.8,14.5,15.1
Nigeria,18.6,18.4,18.9
North Korea,34.6,33.2,36.2
North Macedonia,39.0,38.0,40.0
Norway,39.5,38.8,40.2
Oman,26.2,27.2,25.1
Pakistan,22.0,21.9,22.1
Palau,33.9,32.9,35.9
Panama,30.1,29.6,30.5
Papua New Guinea,24.0,24.0,24.0
Paraguay,29.7,29.5,29.9
Peru,29.1,28.3,29.9
Philippines,24.1,23.6,24.6
Poland,41.9,40.3,43.6
Portugal,44.6,42.7,46.5
Qatar,33.7,35.0,28.2
Republic of the Congo,19.5,19.3,19.7
Romania,42.5,41.0,44.0
Russia,40.3,37.5,43.2
Rwanda,19.7,18.9,20.4
Saint Kitts and Nevis,36.5,36.7,36.3
Saint Lucia,36.9,35.7,38.0
Saint Vincent and the Grenadines,35.3,35.4,35.1
Samoa,25.6,25.3,26.0
San Marino,45.2,43.9,46.3
Sao Tome and Principe,19.3,18.9,19.7
Saudi Arabia,30.8,33.0,27.9
Senegal,19.4,18.5,20.3
Serbia,43.4,41.7,45.0
Seychelles,36.8,36.3,37.4
Sierra Leone,19.1,18.5,19.7
Singapore,35.6,35.4,35.7
Slovakia,41.8,40.1,43.6
Slovenia,44.9,43.4,46.6
Solomon Islands,23.5,23.2,23.7
Somalia,18.5,18.7,18.3
South Korea,43.2,41.6,45.0
South Sudan,18.6,18.9,18.3
Spain,43.9,42.7,45.1
Sri Lanka,33.7,32.3,35.1
Sudan,18.3,18.1,18.5
Suriname,31.0,30.6,31.4
Sweden,41.1,40.1,42.1
Switzerland,42.7,41.7,43.7
Syria,23.5,23.0,24.0
Tajikistan,25.3,24.6,26.0
Tanzania,18.2,17.9,18.4
Thailand,39.0,37.8,40.1
The Bahamas,32.8,31.7,34.0
The Gambia,21.8,21.5,22.2
Timor-Leste,19.6,18.9,20.2
Togo,20.0,19.7,20.3
Tonga,24.1,23.6,24.5
Trinidad and Tobago,37.8,37.3,38.3
Tunisia,32.7,32.0,33.3
Turkey,32.2,31.7,32.8
Turkmenistan,29.2,28.7,29.7
Tuvalu,26.6,25.6,27.6
Uganda,15.7,14.9,16.5
Ukraine,41.2,38.2,44.3
United Arab Emirates,38.4,40.4,31.5
United Kingdom,40.6,39.6,41.7
United States,38.5,37.2,39.8
Uruguay,35.5,33.8,37.3
Uzbekistan,30.1,29.4,30.7
Vanuatu,23.0,22.6,23.5
Venezuela,30.0,29.4,30.7
Vietnam,31.9,30.8,33.0
Yemen,19.8,19.6,19.9
Zambia,16.9,16.7,17.0
Zimbabwe,20.5,20.3,20.6
