country,rate
Afghanistan,19.9
Albania,26.6
Algeria,nan
Andorra,32.8
Angola,19.4
Antigua and Barbuda,nan
Argentina,nan
Armenia,25.2
Australia,28.7
Austria,29.7
Azerbaijan,24.0
Bahrain,nan
Bangladesh,18.6
Barbados,nan
Belarus,26.8
Belgium,29.2
Belize,nan
Benin,20.5
Bhutan,nan
Bolivia,21.1
Bosnia and Herzegovina,27.7
Botswana,nan
Brazil,nan
Brunei,nan
Bulgaria,26.4
Burkina Faso,19.4
Burma,24.7
Burundi,21.5
Cabo Verde,nan
Cambodia,22.4
Cameroon,20.1
Canada,29.4
Central African Republic,nan
Chad,18.1
Chile,nan
China,nan
Colombia,21.7
Comoros,23.0
Costa Rica,nan
Cote d,19.6
Croatia,29.0
Cuba,nan
Cyprus,30.0
Czechia,28.5
Democratic Republic of the Congo,19.9
Denmark,29.8
Djibouti,nan
Dominica,nan
Dominican Republic,20.9
Ecuador,nan
Egypt,22.6
El Salvador,20.8
Equatorial Guinea,nan
Eritrea,21.3
Estonia,28.2
Eswatini,nan
Ethiopia,19.3
Federated States of Micronesia,nan
Fiji,nan
Finland,29.5
France,28.9
Gabon,19.6
Georgia,25.9
Germany,29.9
Ghana,20.7
Greece,30.7
Grenada,nan
Guatemala,20.6
Guinea,19.9
Guinea-Bissau,nan
Guyana,20.8
Haiti,22.4
Holy See,nan
Honduras,20.3
Hungary,28.4
Iceland,28.7
India,21.2
Indonesia,22.4
Iran,nan
Iraq,nan
Ireland,30.9
Israel,27.7
Italy,31.4
Jamaica,21.2
Japan,30.7
Jordan,24.6
Kazakhstan,28.9
Kenya,20.3
Kiribati,23.1
Kosovo,nan
Kuwait,nan
Kyrgyzstan,22.6
Laos,nan
Latvia,27.3
Lebanon,nan
Lesotho,20.9
Liberia,19.1
Libya,nan
Liechtenstein,31.3
Lithuania,28.2
Luxembourg,31.0
Madagascar,19.5
Malawi,19.1
Malaysia,nan
Maldives,23.2
Mali,19.2
Malta,29.3
Marshall Islands,nan
Mauritania,21.8
Mauritius,nan
Mexico,21.3
Moldova,25.2
Monaco,nan
Mongolia,20.5
Montenegro,26.3
Morocco,nan
Mozambique,19.2
Namibia,21.6
Nauru,nan
Nepal,20.4
Netherlands,30.2
New Zealand,27.8
Nicaragua,19.2
Niger,18.5
Nigeria,20.4
North Korea,nan
North Macedonia,26.9
Norway,29.8
Oman,nan
Pakistan,22.8
Palau,nan
Panama,nan
Papua New Guinea,21.9
Paraguay,22.9
Peru,21.9
Philippines,23.5
Poland,27.9
Portugal,29.9
Qatar,nan
Republic of the Congo,19.6
Romania,27.1
Russia,25.2
Rwanda,23.0
Saint Kitts and Nevis,nan
Saint Lucia,nan
Saint Vincent and the Grenadines,nan
Samoa,nan
San Marino,31.9
Sao Tome and Principe,19.4
Saudi Arabia,nan
Senegal,21.9
Serbia,28.2
Seychelles,nan
Sierra Leone,19.6
Singapore,30.5
Slovakia,27.2
Slovenia,29.0
Solomon Islands,22.6
Somalia,nan
South Korea,32.2
South Sudan,nan
Spain,31.2
Sri Lanka,25.6
Sudan,nan
Suriname,nan
Sweden,29.7
Switzerland,31.1
Syria,nan
Tajikistan,23.2
Tanzania,19.8
Thailand,23.3
The Bahamas,nan
The Gambia,20.7
Timor-Leste,23.0
Togo,25.0
Tonga,24.9
Trinidad and Tobago,nan
Tunisia,nan
Turkey,26.6
Turkmenistan,24.2
Tuvalu,nan
Uganda,19.4
Ukraine,26.2
United Arab Emirates,nan
United Kingdom,29.0
United States,27.0
Uruguay,nan
Uzbekistan,23.7
Vanuatu,nan
Venezuela,nan
Vietnam,nan
Yemen,20.8
Zambia,19.2
Zimbabwe,20.3
