country,rate
Afghanistan,0.25
Albania,1.88
Algeria,1.72
Andorra,3.33
Angola,0.21
Antigua and Barbuda,2.76
Argentina,4.06
Armenia,4.4
Australia,4.13
Austria,5.29
Azerbaijan,3.17
Bahrain,0.93
Bangladesh,0.67
Barbados,2.49
Belarus,4.54
Belgium,6.08
Belize,1.08
Benin,0.07
Bhutan,0.5
Bolivia,1.03
Bosnia and Herzegovina,2.16
Botswana,0.38
Brazil,2.31
Brunei,1.61
Bulgaria,4.2
Burkina Faso,0.09
Burma,0.74
Burundi,0.07
Cabo Verde,0.83
Cambodia,0.19
Cameroon,0.13
Canada,2.44
Central African Republic,0.07
Chad,0.06
Chile,2.84
China,2.23
Colombia,2.33
Comoros,0.26
Costa Rica,3.3
Cote d,0.16
Croatia,3.47
Cuba,8.42
Cyprus,3.14
Czechia,4.15
Democratic Republic of the Congo,0.38
Denmark,4.23
Djibouti,0.22
Dominica,1.1
Dominican Republic,1.45
Ecuador,2.22
Egypt,0.75
El Salvador,2.87
Equatorial Guinea,0.4
Eritrea,0.08
Estonia,3.47
Eswatini,0.14
Ethiopia,0.11
Federated States of Micronesia,nan
Fiji,0.86
Finland,4.64
France,3.27
Gabon,0.65
Georgia,5.11
Germany,4.44
Ghana,0.17
Greece,6.31
Grenada,1.44
Guatemala,1.24
Guinea,0.23
Guinea-Bissau,0.2
Guyana,1.42
Haiti,0.23
Holy See,nan
Honduras,0.5
Hungary,6.06
Iceland,4.14
India,0.74
Indonesia,0.62
Iran,1.58
Iraq,0.97
Ireland,3.49
Israel,3.63
Italy,3.95
Jamaica,0.53
Japan,2.48
Jordan,2.66
Kazakhstan,3.98
Kenya,0.16
Kiribati,0.2
Kosovo,nan
Kuwait,2.34
Kyrgyzstan,2.21
Laos,0.35
Latvia,3.4
Lebanon,2.21
Lesotho,0.47
Liberia,0.05
Libya,2.09
Liechtenstein,nan
Lithuania,5.08
Luxembourg,3.01
Madagascar,0.2
Malawi,0.05
Malaysia,1.54
Maldives,2.05
Mali,0.13
Malta,2.86
Marshall Islands,0.42
Mauritania,0.19
Mauritius,2.71
Mexico,2.43
Moldova,3.1
Monaco,7.51
Mongolia,3.85
Montenegro,2.74
Morocco,0.73
Mozambique,0.09
Namibia,0.59
Nauru,1.35
Nepal,0.85
Netherlands,4.08
New Zealand,3.62
Nicaragua,1.67
Niger,0.04
Nigeria,0.38
North Korea,3.68
North Macedonia,2.87
Norway,5.04
Oman,1.77
Pakistan,1.12
Palau,1.77
Panama,1.63
Papua New Guinea,0.07
Paraguay,1.05
Peru,1.37
Philippines,0.77
Poland,3.77
Portugal,5.48
Qatar,2.49
Republic of the Congo,0.1
Romania,2.98
Russia,3.82
Rwanda,0.12
Saint Kitts and Nevis,2.77
Saint Lucia,0.64
Saint Vincent and the Grenadines,0.66
Samoa,0.6
San Marino,6.11
Sao Tome and Principe,0.49
Saudi Arabia,2.74
Senegal,0.09
Serbia,3.11
Seychelles,2.25
Sierra Leone,0.07
Singapore,2.46
Slovakia,3.57
Slovenia,3.28
Solomon Islands,0.19
Somalia,0.02
South Korea,2.48
South Sudan,nan
Spain,4.44
Sri Lanka,1.23
Sudan,0.26
Suriname,0.82
Sweden,7.09
Switzerland,4.38
Syria,1.29
Tajikistan,1.72
Tanzania,0.05
Thailand,0.95
The Bahamas,1.94
The Gambia,0.08
Timor-Leste,0.76
Togo,0.08
Tonga,0.95
Trinidad and Tobago,4.48
Tunisia,1.3
Turkey,1.93
Turkmenistan,2.23
Tuvalu,1.19
Uganda,0.15
Ukraine,2.99
United Arab Emirates,2.6
United Kingdom,3.0
United States,2.61
Uruguay,4.94
Uzbekistan,2.37
Vanuatu,0.17
Venezuela,1.73
Vietnam,0.83
Yemen,0.53
Zambia,1.17
Zimbabwe,0.2
