country,population
Afghanistan,39232003.0
Albania,3101621.0
Algeria,44758398.0
Andorra,85468.0
Angola,35981281.0
Antigua and Barbuda,101489.0
Argentina,46621847.0
Armenia,2989091.0
Australia,26461166.0
Austria,8940860.0
Azerbaijan,10420515.0
Bahrain,1553886.0
Bangladesh,167184465.0
Barbados,303431.0
Belarus,9383853.0
Belgium,11913633.0
Belize,419137.0
Benin,14219908.0
Bhutan,876181.0
Bolivia,12186079.0
Bosnia and Herzegovina,3807764.0
Botswana,2417596.0
Brazil,218689757.0
Brunei,484991.0
Bulgaria,6827736.0
Burkina Faso,22489126.0
Burma,57970293.0
Burundi,13162952.0
Cabo Verde,603901.0
Cambodia,16891245.0
Cameroon,30135732.0
Canada,38516736.0
Central African Republic,5552228.0
Chad,18523165.0
Chile,18549457.0
China,1413142846.0
Colombia,49336454.0
Comoros,888378.0
Costa Rica,5256612.0
Cote d,29344847.0
Croatia,4169239.0
Cuba,10985974.0
Cyprus,1308120.0
Czechia,10706242.0
Democratic Republic of the Congo,111859928.0
Denmark,5946984.0
Djibouti,976143.0
Dominica,74656.0
Dominican Republic,10790744.0
Ecuador,17483326.0
Egypt,109546720.0
El Salvador,6602370.0
Equatorial Guinea,1737695.0
Eritrea,6274796.0
Estonia,1202762.0
Eswatini,1130043.0
Ethiopia,116462712.0
Federated States of Micronesia,100319.0
Fiji,947760.0
Finland,5614571.0
France,68521974.0
Gabon,2397368.0
Georgia,4936390.0
Germany,84220184.0
Ghana,33846114.0
Greece,10497595.0
Grenada,114299.0
Guatemala,17980803.0
Guinea,13607249.0
Guinea-Bissau,2078820.0
Guyana,791739.0
Haiti,11470261.0
Holy See,1000.0
Honduras,9571352.0
Hungary,9670009.0
Iceland,360872.0
India,1399179585.0
Indonesia,279476346.0
Iran,87590873.0
Iraq,41266109.0
Ireland,5323991.0
Israel,9043387.0
Italy,61021855.0
Jamaica,2820982.0
Japan,123719238.0
Jordan,11086716.0
Kazakhstan,19543464.0
Kenya,57052004.0
Kiribati,115372.0
Kosovo,1964327.0
Kuwait,3103580.0
Kyrgyzstan,6122781.0
Laos,7852377.0
Latvia,1821750.0
Lebanon,5331203.0
Lesotho,2210646.0
Liberia,5506280.0
Libya,7252573.0
Liechtenstein,39993.0
Lithuania,2655755.0
Luxembourg,660924.0
Madagascar,28812195.0
Malawi,21279597.0
Malaysia,34219975.0
Maldives,389568.0
Mali,21359722.0
Malta,467138.0
Marshall Islands,80966.0
Mauritania,4244878.0
Mauritius,1309448.0
Mexico,129875529.0
Moldova,3250532.0
Monaco,31597.0
Mongolia,3255468.0
Montenegro,602445.0
Morocco,37067420.0
Mozambique,32513805.0
Namibia,2777232.0
Nauru,9852.0
Nepal,30899443.0
Netherlands,17463930.0
New Zealand,5109702.0
Nicaragua,6359689.0
Niger,25396840.0
Nigeria,230842743.0
North Korea,26072217.0
North Macedonia,2133410.0
Norway,5597924.0
Oman,3833465.0
Pakistan,247653551.0
Palau,21779.0
Panama,4404108.0
Papua New Guinea,9819350.0
Paraguay,7439863.0
Peru,32440172.0
Philippines,116434200.0
Poland,37991766.0
Portugal,10223150.0
Qatar,2532104.0
Republic of the Congo,5677493.0
Romania,18326327.0
Russia,141698923.0
Rwanda,13400541.0
Saint Kitts and Nevis,54817.0
Saint Lucia,167591.0
Saint Vincent and the Grenadines,100804.0
Samoa,207501.0
San Marino,34892.0
Sao Tome and Principe,220372.0
Saudi Arabia,35939806.0
Senegal,18384660.0
Serbia,6693375.0
Seychelles,97617.0
Sierra Leone,8908040.0
Singapore,5975383.0
Slovakia,5425319.0
Slovenia,2099790.0
Solomon Islands,714766.0
Somalia,12693796.0
South Korea,51966948.0
South Sudan,12118379.0
Spain,47222613.0
Sri Lanka,23326272.0
Sudan,49197555.0
Suriname,639759.0
Sweden,10536338.0
Switzerland,8563760.0
Syria,22933531.0
Tajikistan,9245937.0
Tanzania,65642682.0
Thailand,69794997.0
The Bahamas,358508.0
The Gambia,2468569.0
Timor-Leste,1476042.0
Togo,8703961.0
Tonga,105221.0
Trinidad and Tobago,1407460.0
Tunisia,11976182.0
Turkey,83593483.0
Turkmenistan,5690818.0
Tuvalu,11639.0
Uganda,47729952.0
Ukraine,43306477.0
United Arab Emirates,9973449.0
United Kingdom,68138484.0
United States,339665118.0
Uruguay,3416264.0
Uzbekistan,31360836.0
Vanuatu,313046.0
Venezuela,30518260.0
Vietnam,104799174.0
Yemen,31565602.0
Zambia,20216029.0
Zimbabwe,15418674.0
