country,rate
Afghanistan,54.5
Albania,14.3
Algeria,5.5
Andorra,nan
Angola,32.3
Antigua and Barbuda,nan
Argentina,35.5
Armenia,26.4
Australia,nan
Austria,13.3
Azerbaijan,4.9
Bahrain,nan
Bangladesh,24.3
Barbados,nan
Belarus,5.0
Belgium,14.8
Belize,41.0
Benin,38.5
Bhutan,8.2
Bolivia,37.2
Bosnia and Herzegovina,16.9
Botswana,19.3
Brazil,4.2
Brunei,nan
Bulgaria,23.8
Burkina Faso,41.4
Burma,24.8
Burundi,64.6
Cabo Verde,35.0
Cambodia,16.5
Cameroon,37.5
Canada,9.4
Central African Republic,62.0
Chad,42.3
Chile,8.6
China,0.6
Colombia,35.7
Comoros,42.4
Costa Rica,21.0
Cote d,39.5
Croatia,18.3
Cuba,nan
Cyprus,14.7
Czechia,10.1
Democratic Republic of the Congo,63.0
Denmark,12.5
Djibouti,21.1
Dominica,29.0
Dominican Republic,21.0
Ecuador,25.0
Egypt,32.5
El Salvador,22.8
Equatorial Guinea,44.0
Eritrea,50.0
Estonia,21.7
Eswatini,58.9
Ethiopia,23.5
Federated States of Micronesia,41.2
Fiji,29.9
Finland,12.2
France,13.6
Gabon,33.4
Georgia,19.5
Germany,14.8
Ghana,23.4
Greece,17.9
Grenada,38.0
Guatemala,59.3
Guinea,43.7
Guinea-Bissau,67.0
Guyana,35.0
Haiti,58.5
Holy See,nan
Honduras,48.3
Hungary,12.3
Iceland,8.8
India,21.9
Indonesia,9.4
Iran,18.7
Iraq,23.0
Ireland,13.1
Israel,22.0
Italy,20.1
Jamaica,17.1
Japan,16.1
Jordan,15.7
Kazakhstan,4.3
Kenya,36.1
Kiribati,nan
Kosovo,17.6
Kuwait,nan
Kyrgyzstan,20.1
Laos,18.3
Latvia,22.9
Lebanon,27.4
Lesotho,49.7
Liberia,50.9
Libya,nan
Liechtenstein,nan
Lithuania,20.6
Luxembourg,17.5
Madagascar,70.7
Malawi,51.5
Malaysia,5.6
Maldives,8.2
Mali,42.1
Malta,17.1
Marshall Islands,nan
Mauritania,31.0
Mauritius,10.3
Mexico,41.9
Moldova,7.3
Monaco,nan
Mongolia,28.4
Montenegro,24.5
Morocco,4.8
Mozambique,46.1
Namibia,17.4
Nauru,nan
Nepal,25.2
Netherlands,13.6
New Zealand,nan
Nicaragua,24.9
Niger,40.8
Nigeria,40.1
North Korea,nan
North Macedonia,21.6
Norway,12.7
Oman,nan
Pakistan,24.3
Palau,24.9
Panama,22.1
Papua New Guinea,37.0
Paraguay,23.5
Peru,20.2
Philippines,16.7
Poland,15.4
Portugal,17.2
Qatar,nan
Republic of the Congo,40.9
Romania,23.8
Russia,12.6
Rwanda,38.2
Saint Kitts and Nevis,nan
Saint Lucia,25.0
Saint Vincent and the Grenadines,nan
Samoa,20.3
San Marino,nan
Sao Tome and Principe,66.7
Saudi Arabia,nan
Senegal,46.7
Serbia,23.2
Seychelles,25.3
Sierra Leone,56.8
Singapore,nan
Slovakia,11.9
Slovenia,12.0
Solomon Islands,12.7
Somalia,nan
South Korea,14.4
South Sudan,76.4
Spain,20.7
Sri Lanka,4.1
Sudan,46.5
Suriname,70.0
Sweden,17.1
Switzerland,16.0
Syria,82.5
Tajikistan,26.3
Tanzania,26.4
Thailand,9.9
The Bahamas,9.3
The Gambia,48.6
Timor-Leste,41.8
Togo,55.1
Tonga,22.5
Trinidad and Tobago,20.0
Tunisia,15.2
Turkey,14.4
Turkmenistan,0.2
Tuvalu,26.3
Uganda,21.4
Ukraine,1.1
United Arab Emirates,19.5
United Kingdom,18.6
United States,15.1
Uruguay,8.8
Uzbekistan,14.1
Vanuatu,nan
Venezuela,33.1
Vietnam,6.7
Yemen,48.6
Zambia,54.4
Zimbabwe,38.3
