country,total,male,female
Afghanistan,10.0,13.0,8.0
Albania,14.0,13.0,15.0
Algeria,nan,nan,nan
Andorra,nan,nan,nan
Angola,nan,nan,nan
Antigua and Barbuda,15.0,14.0,16.0
Argentina,18.0,17.0,20.0
Armenia,13.0,13.0,14.0
Australia,21.0,20.0,22.0
Austria,16.0,16.0,16.0
Azerbaijan,14.0,13.0,14.0
Bahrain,16.0,16.0,17.0
Bangladesh,12.0,12.0,13.0
Barbados,nan,nan,nan
Belarus,15.0,15.0,15.0
Belgium,19.0,18.0,20.0
Belize,13.0,12.0,13.0
Benin,11.0,12.0,10.0
Bhutan,13.0,13.0,13.0
Bolivia,nan,nan,nan
Bosnia and Herzegovina,14.0,14.0,15.0
Botswana,12.0,12.0,12.0
Brazil,16.0,15.0,16.0
Brunei,14.0,14.0,14.0
Bulgaria,14.0,13.0,14.0
Burkina Faso,9.0,9.0,9.0
Burma,11.0,10.0,11.0
Burundi,11.0,11.0,11.0
Cabo Verde,13.0,12.0,13.0
Cambodia,nan,nan,nan
Cameroon,12.0,13.0,11.0
Canada,17.0,16.0,17.0
Central African Republic,7.0,8.0,6.0
Chad,7.0,9.0,6.0
Chile,17.0,16.0,17.0
China,14.0,14.0,14.0
Colombia,14.0,14.0,15.0
Comoros,11.0,11.0,11.0
Costa Rica,17.0,16.0,17.0
Cote d,11.0,11.0,10.0
Croatia,15.0,14.0,16.0
Cuba,14.0,13.0,15.0
Cyprus,16.0,16.0,16.0
Czechia,16.0,16.0,17.0
Democratic Republic of the Congo,11.0,10.0,9.0
Denmark,19.0,18.0,19.0
Djibouti,7.0,7.0,7.0
Dominica,nan,nan,nan
Dominican Republic,14.0,13.0,15.0
Ecuador,15.0,14.0,15.0
Egypt,14.0,14.0,14.0
El Salvador,12.0,12.0,12.0
Equatorial Guinea,nan,nan,nan
Eritrea,8.0,8.0,7.0
Estonia,16.0,15.0,17.0
Eswatini,13.0,13.0,12.0
Ethiopia,9.0,8.0,8.0
Federated States of Micronesia,nan,nan,nan
Fiji,nan,nan,nan
Finland,19.0,18.0,20.0
France,16.0,16.0,16.0
Gabon,nan,nan,nan
Georgia,16.0,16.0,16.0
Germany,17.0,17.0,17.0
Ghana,12.0,12.0,12.0
Greece,20.0,20.0,20.0
Grenada,19.0,18.0,19.0
Guatemala,11.0,11.0,10.0
Guinea,9.0,10.0,8.0
Guinea-Bissau,nan,nan,nan
Guyana,11.0,11.0,12.0
Haiti,nan,nan,nan
Holy See,nan,nan,nan
Honduras,10.0,10.0,11.0
Hungary,15.0,15.0,15.0
Iceland,19.0,18.0,21.0
India,12.0,12.0,12.0
Indonesia,14.0,14.0,14.0
Iran,15.0,15.0,15.0
Iraq,nan,nan,nan
Ireland,19.0,18.0,19.0
Israel,16.0,15.0,17.0
Italy,16.0,16.0,17.0
Jamaica,12.0,11.0,13.0
Japan,15.0,15.0,15.0
Jordan,11.0,10.0,11.0
Kazakhstan,16.0,15.0,16.0
Kenya,nan,nan,nan
Kiribati,nan,nan,nan
Kosovo,nan,nan,nan
Kuwait,15.0,13.0,16.0
Kyrgyzstan,14.0,13.0,14.0
Laos,10.0,10.0,10.0
Latvia,16.0,16.0,17.0
Lebanon,11.0,12.0,11.0
Lesotho,12.0,12.0,13.0
Liberia,nan,nan,nan
Libya,nan,nan,nan
Liechtenstein,15.0,16.0,14.0
Lithuania,16.0,16.0,17.0
Luxembourg,15.0,15.0,15.0
Madagascar,10.0,10.0,10.0
Malawi,11.0,11.0,11.0
Malaysia,13.0,13.0,14.0
Maldives,13.0,12.0,14.0
Mali,7.0,8.0,7.0
Malta,17.0,17.0,18.0
Marshall Islands,10.0,10.0,10.0
Mauritania,9.0,8.0,9.0
Mauritius,15.0,14.0,16.0
Mexico,15.0,15.0,15.0
Moldova,14.0,14.0,15.0
Monaco,nan,nan,nan
Mongolia,15.0,14.0,16.0
Montenegro,15.0,15.0,16.0
Morocco,14.0,14.0,14.0
Mozambique,10.0,10.0,9.0
Namibia,nan,nan,nan
Nauru,nan,nan,nan
Nepal,13.0,13.0,13.0
Netherlands,19.0,18.0,19.0
New Zealand,20.0,20.0,21.0
Nicaragua,nan,nan,nan
Niger,6.0,7.0,6.0
Nigeria,nan,nan,nan
North Korea,11.0,11.0,11.0
North Macedonia,13.0,13.0,14.0
Norway,18.0,18.0,19.0
Oman,15.0,15.0,15.0
Pakistan,9.0,9.0,8.0
Palau,17.0,16.0,17.0
Panama,13.0,12.0,13.0
Papua New Guinea,nan,nan,nan
Paraguay,nan,nan,nan
Peru,15.0,15.0,15.0
Philippines,13.0,13.0,13.0
Poland,16.0,15.0,17.0
Portugal,17.0,17.0,17.0
Qatar,13.0,12.0,15.0
Republic of the Congo,11.0,11.0,11.0
Romania,14.0,14.0,15.0
Russia,16.0,16.0,16.0
Rwanda,11.0,11.0,11.0
Saint Kitts and Nevis,17.0,16.0,19.0
Saint Lucia,13.0,12.0,13.0
Saint Vincent and the Grenadines,14.0,14.0,15.0
Samoa,nan,nan,nan
San Marino,12.0,13.0,12.0
Sao Tome and Principe,12.0,12.0,13.0
Saudi Arabia,17.0,17.0,16.0
Senegal,9.0,8.0,10.0
Serbia,14.0,14.0,15.0
Seychelles,15.0,13.0,16.0
Sierra Leone,nan,nan,nan
Singapore,17.0,16.0,17.0
Slovakia,15.0,14.0,15.0
Slovenia,18.0,17.0,18.0
Solomon Islands,nan,nan,nan
Somalia,nan,nan,nan
South Korea,17.0,17.0,16.0
South Sudan,nan,nan,nan
Spain,18.0,18.0,19.0
Sri Lanka,14.0,14.0,14.0
Sudan,8.0,8.0,7.0
Suriname,nan,nan,nan
Sweden,20.0,18.0,21.0
Switzerland,17.0,17.0,17.0
Syria,9.0,9.0,9.0
Tajikistan,11.0,12.0,11.0
Tanzania,9.0,9.0,9.0
Thailand,15.0,15.0,16.0
The Bahamas,nan,nan,nan
The Gambia,nan,nan,nan
Timor-Leste,nan,nan,nan
Togo,13.0,14.0,12.0
Tonga,16.0,15.0,17.0
Trinidad and Tobago,nan,nan,nan
Tunisia,15.0,14.0,16.0
Turkey,18.0,19.0,18.0
Turkmenistan,13.0,13.0,13.0
Tuvalu,nan,nan,nan
Uganda,nan,nan,nan
Ukraine,15.0,15.0,15.0
United Arab Emirates,16.0,15.0,17.0
United Kingdom,17.0,17.0,18.0
United States,16.0,16.0,17.0
Uruguay,19.0,17.0,20.0
Uzbekistan,12.0,12.0,12.0
Vanuatu,nan,nan,nan
Venezuela,nan,nan,nan
Vietnam,nan,nan,nan
Yemen,nan,nan,nan
Zambia,nan,nan,nan
Zimbabwe,11.0,12.0,11.0
