country,at birth,0-14 years,15-64 years,65 years and over,total population
Afghanistan,1.05,1.03,1.03,0.85,1.02
Albania,1.07,1.1,0.97,0.85,0.97
Algeria,1.05,1.05,1.03,0.91,1.03
Andorra,1.07,1.06,1.05,1.03,1.05
Angola,1.03,1.0,0.93,0.72,0.96
Antigua and Barbuda,1.05,1.03,0.87,0.75,0.89
Argentina,1.07,1.06,1.01,0.74,0.98
Armenia,1.07,1.1,0.98,0.7,0.96
Australia,1.06,1.07,1.0,0.85,0.99
Austria,1.05,1.05,1.0,0.79,0.96
Azerbaijan,1.06,1.11,1.0,0.66,0.98
Bahrain,1.03,1.03,1.69,1.06,1.51
Bangladesh,1.04,1.04,0.95,0.87,0.96
Barbados,1.01,1.0,0.97,0.72,0.93
Belarus,1.06,1.06,0.95,0.5,0.87
Belgium,1.05,1.05,1.02,0.79,0.97
Belize,1.05,1.04,0.99,0.9,1.0
Benin,1.05,1.02,0.94,0.84,0.97
Bhutan,1.05,1.05,1.08,1.07,1.07
Bolivia,1.05,1.04,1.01,0.86,1.01
Bosnia and Herzegovina,1.07,1.07,1.01,0.69,0.95
Botswana,1.03,1.02,0.91,0.67,0.92
Brazil,1.05,1.04,0.98,0.75,0.97
Brunei,1.05,1.06,0.92,0.95,0.95
Bulgaria,1.06,1.06,1.04,0.67,0.95
Burkina Faso,1.03,1.03,0.92,0.74,0.96
Burma,1.06,1.05,0.97,0.77,0.97
Burundi,1.03,1.02,0.98,0.76,0.99
Cabo Verde,1.03,1.01,0.96,0.61,0.95
Cambodia,1.05,1.02,0.94,0.55,0.94
Cameroon,1.03,1.02,0.98,0.87,0.99
Canada,1.05,1.06,1.01,0.85,0.98
Central African Republic,1.03,1.05,0.97,0.77,0.99
Chad,1.04,1.02,0.96,0.75,0.98
Chile,1.04,1.04,1.0,0.73,0.97
China,1.09,1.14,1.06,0.86,1.04
Colombia,1.05,1.05,0.96,0.79,0.95
Comoros,1.03,1.0,0.92,0.78,0.94
Costa Rica,1.05,1.05,1.01,0.85,1.0
Cote d,1.03,1.06,1.05,0.73,0.97
Croatia,1.06,1.01,1.02,0.82,1.01
Cuba,1.06,1.07,1.0,0.71,0.93
Cyprus,1.05,1.05,0.97,0.68,0.93
Czechia,1.05,1.05,1.11,0.77,1.05
Democratic Republic of the Congo,1.03,1.01,1.0,0.77,1.0
Denmark,1.07,1.06,1.02,0.86,0.99
Djibouti,1.03,1.01,0.77,0.78,0.83
Dominica,1.05,1.05,1.04,0.9,1.02
Dominican Republic,1.04,1.03,1.03,0.89,1.02
Ecuador,1.05,1.04,0.98,0.89,0.98
Egypt,1.06,1.06,1.06,1.03,1.06
El Salvador,1.05,1.05,0.9,0.75,0.92
Equatorial Guinea,1.03,1.07,1.21,1.08,1.15
Eritrea,1.03,1.01,0.97,0.66,0.97
Estonia,1.05,1.05,1.01,0.55,0.89
Eswatini,1.03,1.0,0.87,0.59,0.9
Ethiopia,1.03,1.01,0.99,0.84,0.99
Federated States of Micronesia,1.05,1.03,0.94,0.8,0.96
Fiji,1.05,1.04,1.05,0.86,1.03
Finland,1.05,1.05,1.03,0.79,0.97
