country,rate
Afghanistan,9.9
Albania,17.02
Algeria,32.3
Andorra,69.0
Angola,10.09
Antigua and Barbuda,19.6
Argentina,10.87
Armenia,21.86
Australia,22.61
Austria,24.19
Azerbaijan,14.22
Bahrain,16.6
Bangladesh,7.0
Barbados,27.48
Belarus,12.02
Belgium,21.97
Belize,21.16
Benin,17.1
Bhutan,12.98
Bolivia,39.9
Bosnia and Herzegovina,19.01
Botswana,22.32
Brazil,12.96
Brunei,18.5
Bulgaria,20.27
Burkina Faso,13.28
Burma,6.44
Burundi,15.8
Cabo Verde,20.09
Cambodia,17.89
Cameroon,10.87
Canada,13.3
Central African Republic,8.71
Chad,13.5
Chile,16.24
China,8.09
Colombia,14.23
Comoros,25.3
Costa Rica,12.32
Cote d,12.11
Croatia,20.6
Cuba,58.1
Cyprus,22.42
Czechia,14.34
Democratic Republic of the Congo,11.2
Denmark,34.07
Djibouti,35.3
Dominica,40.9
Dominican Republic,12.39
Ecuador,12.54
Egypt,17.9
El Salvador,18.66
Equatorial Guinea,7.85
Eritrea,34.9
Estonia,20.69
Eswatini,28.6
Ethiopia,6.2
Federated States of Micronesia,6.43
Fiji,19.26
Finland,19.85
France,24.69
Gabon,11.48
Georgia,21.41
Germany,10.55
Ghana,11.34
Greece,24.74
Grenada,25.8
Guatemala,9.97
Guinea,16.6
Guinea-Bissau,9.46
Guyana,28.1
Haiti,18.2
Holy See,nan
Honduras,14.77
Hungary,22.87
Iceland,22.33
India,12.02
Indonesia,8.31
Iran,17.3
Iraq,1.34
Ireland,16.51
Israel,21.9
Italy,24.77
Jamaica,25.71
Japan,35.2
Jordan,15.81
Kazakhstan,8.32
Kenya,14.3
Kiribati,26.28
Kosovo,29.0
Kuwait,41.8
Kyrgyzstan,14.92
Laos,18.3
Latvia,21.77
Lebanon,8.9
Lesotho,18.47
Liberia,16.9
Libya,51.6
Liechtenstein,14.9
Lithuania,19.88
Luxembourg,25.13
Madagascar,9.52
Malawi,11.72
Malaysia,10.89
Maldives,26.4
Mali,14.16
Malta,23.73
Marshall Islands,17.16
Mauritania,27.4
Mauritius,20.72
Mexico,14.29
Moldova,17.41
Monaco,14.9
Mongolia,14.15
Montenegro,37.2
Morocco,20.02
Mozambique,21.84
Namibia,31.17
Nauru,48.24
Nepal,15.77
Netherlands,24.38
New Zealand,27.5
Nicaragua,17.2
Niger,21.4
Nigeria,3.4
North Korea,11.4
North Macedonia,16.13
Norway,21.09
Oman,31.3
Pakistan,15.4
Palau,18.59
Panama,8.51
Papua New Guinea,11.88
Paraguay,9.51
Peru,13.2
Philippines,13.95
Poland,17.48
Portugal,22.04
Qatar,26.4
Republic of the Congo,8.95
Romania,14.18
Russia,10.83
Rwanda,15.06
Saint Kitts and Nevis,15.03
Saint Lucia,18.24
Saint Vincent and the Grenadines,23.7
Samoa,24.42
San Marino,16.14
Sao Tome and Principe,26.2
Saudi Arabia,8.6
Senegal,16.38
Serbia,23.49
Seychelles,31.52
Sierra Leone,15.6
Singapore,12.89
Slovakia,18.5
Slovenia,16.92
Solomon Islands,21.05
Somalia,0.0
South Korea,14.86
South Sudan,8.5
Spain,13.58
Sri Lanka,7.68
Sudan,7.39
Suriname,16.4
Sweden,26.58
Switzerland,9.37
Syria,4.2
Tajikistan,31.8
Tanzania,11.7
Thailand,14.48
The Bahamas,19.16
The Gambia,20.3
Timor-Leste,22.86
Togo,13.16
Tonga,39.8
Trinidad and Tobago,19.52
Tunisia,24.7
Turkey,17.64
Turkmenistan,14.9
Tuvalu,106.7
Uganda,11.39
Ukraine,19.15
United Arab Emirates,0.68
United Kingdom,24.73
United States,9.86
Uruguay,18.55
Uzbekistan,14.87
Vanuatu,14.24
Venezuela,44.2
Vietnam,24.8
Yemen,9.0
Zambia,16.44
Zimbabwe,7.21
