country,total,male,female
Afghanistan,23.3,39.4,7.2
Albania,22.4,38.8,6.0
Algeria,21.0,41.3,0.7
Andorra,31.8,35.3,28.3
Angola,nan,nan,nan
Antigua and Barbuda,nan,nan,nan
Argentina,24.5,29.4,19.6
Armenia,25.5,49.4,1.5
Australia,13.6,15.6,11.5
Austria,26.4,27.7,25.0
Azerbaijan,24.0,47.9,0.1
Bahrain,14.9,25.3,4.5
Bangladesh,34.7,52.2,17.1
Barbados,8.5,15.0,1.9
Belarus,30.5,47.4,13.5
Belgium,23.4,25.8,21.0
Belize,8.5,15.1,1.8
Benin,6.9,11.8,1.9
Bhutan,nan,nan,nan
Bolivia,12.7,20.5,4.8
Bosnia and Herzegovina,35.0,42.0,28.0
Botswana,19.4,30.4,8.3
Brazil,12.8,16.2,9.4
Brunei,16.2,30.0,2.3
Bulgaria,39.0,40.9,37.1
Burkina Faso,14.3,22.1,6.4
Burma,44.1,68.5,19.7
Burundi,11.8,17.4,6.1
Cabo Verde,11.4,17.3,5.4
Cambodia,21.1,36.1,6.0
Cameroon,7.3,13.2,1.4
Canada,13.0,15.3,10.7
Central African Republic,nan,nan,nan
Chad,8.3,13.8,2.7
Chile,29.2,31.6,26.8
China,25.6,49.4,1.7
Colombia,8.5,12.4,4.6
Comoros,20.3,29.5,11.1
Costa Rica,8.8,12.9,4.6
Cote d,9.4,17.9,0.9
Croatia,36.9,37.6,36.1
Cuba,17.9,25.5,10.3
Cyprus,35.1,47.0,23.2
Czechia,30.7,35.0,26.4
Democratic Republic of the Congo,12.8,22.7,2.9
Denmark,17.5,17.8,17.1
Djibouti,nan,nan,nan
Dominica,nan,nan,nan
Dominican Republic,10.6,14.6,6.5
Ecuador,11.3,18.4,4.2
Egypt,24.3,48.1,0.4
El Salvador,7.9,14.1,1.7
Equatorial Guinea,nan,nan,nan
Eritrea,7.5,14.7,0.2
Estonia,29.7,36.3,23.0
Eswatini,9.2,16.5,1.8
Ethiopia,5.1,8.8,1.3
Federated States of Micronesia,nan,nan,nan
Fiji,23.1,35.6,10.5
Finland,21.6,26.9,16.3
France,33.4,34.9,31.9
Gabon,nan,nan,nan
Georgia,31.7,56.3,7.1
Germany,22.0,24.1,19.9
Ghana,3.5,6.6,0.3
Greece,33.5,36.5,30.5
Grenada,nan,nan,nan
Guatemala,10.9,20.1,1.6
Guinea,nan,nan,nan
Guinea-Bissau,9.0,17.0,0.9
Guyana,12.1,21.7,2.4
Haiti,7.7,12.2,3.1
Holy See,nan,nan,nan
Honduras,nan,nan,nan
Hungary,31.8,35.8,27.8
Iceland,12.0,11.9,12.0
India,27.2,41.3,13.0
Indonesia,37.6,71.4,3.7
Iran,13.6,24.1,3.1
Iraq,18.5,35.1,1.8
Ireland,20.8,22.5,19.0
Israel,21.2,28.9,13.5
Italy,23.1,26.6,19.5
Jamaica,9.4,15.0,3.8
Japan,20.1,30.1,10.0
Jordan,34.8,56.8,12.8
Kazakhstan,23.2,39.6,6.7
Kenya,11.1,19.5,2.7
Kiribati,40.6,53.9,27.3
Kosovo,nan,nan,nan
Kuwait,17.9,33.5,2.2
Kyrgyzstan,25.4,48.0,2.8
Laos,31.8,53.3,10.3
Latvia,37.0,50.3,23.7
Lebanon,38.2,47.5,28.9
Lesotho,24.3,43.1,5.4
Liberia,8.2,14.3,2.0
Libya,nan,nan,nan
Liechtenstein,nan,nan,nan
Lithuania,32.0,42.1,21.8
Luxembourg,21.1,22.4,19.8
Madagascar,27.8,42.7,12.8
Malawi,10.8,17.5,4.1
Malaysia,22.5,43.8,1.1
Maldives,25.2,44.4,6.0
Mali,8.3,15.6,1.0
Malta,24.0,26.4,21.6
Marshall Islands,28.5,48.7,8.3
Mauritania,10.7,19.3,2.1
Mauritius,20.2,37.3,3.0
Mexico,13.1,19.9,6.2
Moldova,29.0,51.7,6.2
Monaco,nan,nan,nan
Mongolia,29.4,51.7,7.1
Montenegro,31.4,31.6,31.1
Morocco,14.5,28.2,0.8
