country,fertility_rate
Afghanistan,4.53
Albania,1.55
Algeria,2.47
Andorra,1.46
Angola,5.76
Antigua and Barbuda,1.94
Argentina,2.17
Armenia,1.65
Australia,1.73
Austria,1.51
Azerbaijan,1.86
Bahrain,1.66
Bangladesh,2.08
Barbados,1.7
Belarus,1.52
Belgium,1.77
Belize,2.59
Benin,5.39
Bhutan,1.77
Bolivia,2.26
Bosnia and Herzegovina,1.37
Botswana,2.37
Brazil,1.75
Brunei,1.74
Bulgaria,1.51
Burkina Faso,4.14
Burma,2.0
Burundi,4.96
Cabo Verde,2.11
Cambodia,2.2
Cameroon,4.5
Canada,1.57
Central African Republic,3.99
Chad,5.35
Chile,1.75
China,1.45
Colombia,1.94
Comoros,2.69
Costa Rica,1.86
Cote d,3.47
Croatia,1.46
Cuba,1.71
Cyprus,1.48
Czechia,1.5
Democratic Republic of the Congo,5.56
Denmark,1.77
Djibouti,2.13
Dominica,2.01
Dominican Republic,2.2
Ecuador,2.02
Egypt,2.76
El Salvador,2.04
Equatorial Guinea,4.19
Eritrea,3.5
Estonia,1.62
Eswatini,2.41
Ethiopia,3.92
Federated States of Micronesia,2.22
Fiji,2.23
Finland,1.74
France,2.02
Gabon,3.26
Georgia,1.75
Germany,1.58
Ghana,3.61
Greece,1.4
Grenada,1.92
Guatemala,2.57
Guinea,4.82
Guinea-Bissau,4.65
Guyana,2.06
Haiti,2.39
Holy See,nan
Honduras,1.98
Hungary,1.49
Iceland,1.95
India,2.07
Indonesia,1.99
Iran,1.92
Iraq,3.17
Ireland,1.91
Israel,2.54
Italy,1.24
Jamaica,2.05
Japan,1.39
Jordan,2.91
Kazakhstan,2.08
Kenya,3.23
Kiribati,2.18
Kosovo,1.88
Kuwait,2.22
Kyrgyzstan,2.47
Laos,2.3
Latvia,1.55
Lebanon,1.71
Lesotho,2.88
Liberia,4.73
Libya,3.04
Liechtenstein,1.69
Lithuania,1.61
Luxembourg,1.63
Madagascar,3.55
Malawi,3.3
Malaysia,1.74
Maldives,1.7
Mali,5.45
Malta,1.51
Marshall Islands,2.72
Mauritania,3.46
Mauritius,1.35
Mexico,1.73
Moldova,1.59
Monaco,1.53
Mongolia,1.89
Montenegro,1.81
Morocco,2.27
Mozambique,4.74
Namibia,2.94
Nauru,2.58
Nepal,1.88
Netherlands,1.77
New Zealand,1.86
Nicaragua,1.78
Niger,6.73
Nigeria,4.57
North Korea,1.89
North Macedonia,1.52
Norway,1.83
Oman,2.67
Pakistan,3.39
Palau,1.7
Panama,2.37
Papua New Guinea,3.85
Paraguay,1.88
Peru,2.18
Philippines,2.77
Poland,1.41
Portugal,1.44
Qatar,1.9
Republic of the Congo,4.32
Romania,1.63
Russia,1.6
Rwanda,3.23
Saint Kitts and Nevis,1.76
Saint Lucia,1.72
Saint Vincent and the Grenadines,1.74
Samoa,2.37
San Marino,1.53
Sao Tome and Principe,3.44
Saudi Arabia,1.89
Senegal,4.17
Serbia,1.46
Seychelles,1.81
Sierra Leone,3.71
Singapore,1.17
Slovakia,1.46
Slovenia,1.6
Solomon Islands,2.82
Somalia,5.22
South Korea,1.11
South Sudan,5.2
Spain,1.29
Sri Lanka,1.97
Sudan,4.54
Suriname,1.91
Sweden,1.67
Switzerland,1.58
Syria,2.74
Tajikistan,2.42
Tanzania,4.33
Thailand,1.54
The Bahamas,1.97
The Gambia,3.66
Timor-Leste,4.09
Togo,4.18
Tonga,2.7
Trinidad and Tobago,1.63
Tunisia,1.96
Turkey,1.91
Turkmenistan,2.03
Tuvalu,2.81
Uganda,5.26
Ukraine,1.57
United Arab Emirates,1.62
United Kingdom,1.63
United States,1.84
Uruguay,1.75
Uzbekistan,1.72
Vanuatu,2.59
Venezuela,2.2
Vietnam,2.04
Yemen,2.91
Zambia,4.49
Zimbabwe,3.88
